
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2011,14,2011-12-18,23-252,MIA,@,BUF,W 30-23
2,2011,15,2011-12-24,23-258,MIA,@,NWE,L 24-27
3,2011,16,2012-01-01,23-266,MIA,,NYJ,W 19-17
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
4,2012,13,2012-12-09,24-243,MIA,@,SFO,L 13-27
5,2012,14,2012-12-16,24-250,MIA,,JAX,W 24-3
6,2012,15,2012-12-23,24-257,MIA,,BUF,W 24-10
7,2012,16,2012-12-30,24-264,MIA,@,NWE,L 0-28
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
8,2013,1,2013-09-08,25-151,MIA,@,CLE,W 23-10
9,2013,2,2013-09-15,25-158,MIA,@,IND,W 24-20
10,2013,3,2013-09-22,25-165,MIA,,ATL,W 27-23
11,2013,4,2013-09-30,25-173,MIA,@,NOR,L 17-38
12,2013,5,2013-10-06,25-179,MIA,,BAL,L 23-26
13,2013,6,2013-10-20,25-193,MIA,,BUF,L 21-23
14,2013,8,2013-10-31,25-204,MIA,,CIN,W 22-20
15,2013,9,2013-11-11,25-215,MIA,@,TAM,L 19-22
,,,15 Games,,,,,8-7-0
