
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
1,2011,10,2011-11-20,24-267,BUF,@,MIA,L 8-35,0,,,,,,,,,,,
2,2011,11,2011-11-27,24-274,BUF,@,NYJ,L 24-28,0,0,0,,0,0,0,,0,0.0,0,0
3,2011,12,2011-12-04,24-281,BUF,,TEN,L 17-23,2,2,16,8.00,0,1,12,12.00,0,0.0,0,0
4,2011,13,2011-12-11,24-288,BUF,@,SDG,L 10-37,3,2,19,9.50,0,0,0,,0,0.0,0,0
5,2011,14,2011-12-18,24-295,BUF,,MIA,L 23-30,0,0,0,,0,0,0,,0,0.0,0,1
6,2011,15,2011-12-24,24-301,BUF,,DEN,W 40-14,1,1,6,6.00,0,0,0,,0,0.0,0,0
,,,6 Games,,,,,1-5-0,6,5,41,8.20,0,1,12,12.00,0,0.0,0,1
