
,,,,,,,,,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Sk,Tkl,Ast
1,2008,13,2008-12-07,24-150,HOU,@,GNB,W 24-21,,,
2,2008,14,2008-12-14,24-157,HOU,,TEN,W 13-12,,,
3,2008,15,2008-12-21,24-164,HOU,@,OAK,L 16-27,,,
4,2008,16,2008-12-28,24-171,HOU,,CHI,W 31-24,,,
,,,,,,,,,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Sk,Tkl,Ast
5,2009,6,2009-10-18,25-100,CIN,,HOU,L 17-28,,,
6,2009,7,2009-10-25,25-107,CIN,,CHI,W 45-10,,,
7,2009,8,2009-11-08,25-121,CIN,,BAL,W 17-7,0.0,0,0
8,2009,9,2009-11-15,25-128,CIN,@,PIT,W 18-12,,,
9,2009,10,2009-11-22,25-135,CIN,@,OAK,L 17-20,,,
10,2009,11,2009-11-29,25-142,CIN,,CLE,W 16-7,,,
11,2009,12,2009-12-06,25-149,CIN,,DET,W 23-13,,,
12,2009,13,2009-12-13,25-156,CIN,@,MIN,L 10-30,,,
13,2009,14,2009-12-20,25-163,CIN,@,SDG,L 24-27,,,
14,2009,15,2009-12-27,25-170,CIN,,KAN,W 17-10,,,
15,2009,16,2010-01-03,25-177,CIN,@,NYJ,L 0-37,,,
,,,,,,,,,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Sk,Tkl,Ast
16,2010,1,2010-09-12,26-064,CIN,@,NWE,L 24-38,,,
17,2010,2,2010-09-19,26-071,CIN,,BAL,W 15-10,0.0,0,0
18,2010,3,2010-09-26,26-078,CIN,@,CAR,W 20-7,,,
19,2010,4,2010-10-03,26-085,CIN,@,CLE,L 20-23,,,
20,2010,5,2010-10-10,26-092,CIN,,TAM,L 21-24,,,
21,2010,6,2010-10-24,26-106,CIN,@,ATL,L 32-39,,,
22,2010,7,2010-10-31,26-113,CIN,,MIA,L 14-22,,,
23,2010,8,2010-11-08,26-121,CIN,,PIT,L 21-27,,,
24,2010,9,2010-11-14,26-127,CIN,@,IND,L 17-23,,,
25,2010,10,2010-11-21,26-134,CIN,,BUF,L 31-49,,,
26,2010,11,2010-11-25,26-138,CIN,@,NYJ,L 10-26,0.0,0,0
27,2010,12,2010-12-05,26-148,CIN,,NOR,L 30-34,0.0,0,0
28,2010,13,2010-12-12,26-155,CIN,@,PIT,L 7-23,,,
29,2010,14,2010-12-19,26-162,CIN,,CLE,W 19-17,,,
30,2010,15,2010-12-26,26-169,CIN,,SDG,W 34-20,,,
31,2010,16,2011-01-02,26-176,CIN,@,BAL,L 7-13,,,
,,,,,,,,,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Sk,Tkl,Ast
32,2011,1,2011-09-11,27-063,CIN,@,CLE,W 27-17,0.0,0,0
33,2011,2,2011-09-18,27-070,CIN,@,DEN,L 22-24,,,
34,2011,3,2011-09-25,27-077,CIN,,SFO,L 8-13,,,
35,2011,4,2011-10-02,27-084,CIN,,BUF,W 23-20,,,
36,2011,5,2011-10-09,27-091,CIN,@,JAX,W 30-20,,,
37,2011,6,2011-10-16,27-098,CIN,,IND,W 27-17,,,
38,2011,7,2011-10-30,27-112,CIN,@,SEA,W 34-12,,,
39,2011,8,2011-11-06,27-119,CIN,@,TEN,W 24-17,,,
40,2011,9,2011-11-13,27-126,CIN,,PIT,L 17-24,,,
41,2011,10,2011-11-20,27-133,CIN,@,BAL,L 24-31,,,
42,2011,11,2011-11-27,27-140,CIN,,CLE,W 23-20,,,
43,2011,12,2011-12-04,27-147,CIN,@,PIT,L 7-35,0.0,0,1
44,2011,13,2011-12-11,27-154,CIN,,HOU,L 19-20,0.0,0,1
45,2011,14,2011-12-18,27-161,CIN,@,STL,W 20-13,,,
46,2011,15,2011-12-24,27-167,CIN,,ARI,W 23-16,,,
47,2011,16,2012-01-01,27-175,CIN,,BAL,L 16-24,,,
,,,,,,,,,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Sk,Tkl,Ast
48,2012,1,2012-09-10,28-062,CIN,@,BAL,L 13-44,0.0,0,0
49,2012,2,2012-09-16,28-068,CIN,,CLE,W 34-27,,,
50,2012,3,2012-09-23,28-075,CIN,@,WAS,W 38-31,,,
51,2012,4,2012-09-30,28-082,CIN,@,JAX,W 27-10,,,
52,2012,5,2012-10-07,28-089,CIN,,MIA,L 13-17,,,
53,2012,6,2012-10-14,28-096,CIN,@,CLE,L 24-34,,,
54,2012,7,2012-10-21,28-103,CIN,,PIT,L 17-24,,,
55,2012,8,2012-11-04,28-117,CIN,,DEN,L 23-31,,,
56,2012,9,2012-11-11,28-124,CIN,,NYG,W 31-13,0.0,0,0
