
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2013,1,2013-09-08,23-077,CLE,,MIA,L 10-23
2,2013,2,2013-09-15,23-084,CLE,@,BAL,L 6-14
3,2013,5,2013-10-03,23-102,CLE,,BUF,W 37-24
4,2013,10,2013-11-17,23-147,CLE,@,CIN,L 20-41
5,2013,11,2013-11-24,23-154,CLE,,PIT,L 11-27
6,2013,12,2013-12-01,23-161,CLE,,JAX,L 28-32
7,2013,15,2013-12-22,23-182,CLE,@,NYJ,L 13-24
8,2013,16,2013-12-29,23-189,CLE,@,PIT,L 7-20
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
9,2014,15,2014-12-21,24-181,SEA,@,ARI,W 35-6
,,,9 Games,,,,,2-7-0
