
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2011,1,2011-09-11,23-188,IND,@,HOU,L 7-34,,,,,
2,2011,10,2011-11-13,23-251,IND,,JAX,L 3-17,,,,,
3,2011,11,2011-11-27,23-265,IND,,CAR,L 19-27,,,,,
4,2011,12,2011-12-04,23-272,IND,@,NWE,L 24-31,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
5,2012,1,2012-09-09,24-186,STL,@,DET,L 23-27,1,1,10,10.00,0
6,2012,2,2012-09-16,24-193,STL,,WAS,W 31-28,,,,,
7,2012,3,2012-09-23,24-200,STL,@,CHI,L 6-23,,,,,
8,2012,4,2012-09-30,24-207,STL,,SEA,W 19-13,,,,,
9,2012,5,2012-10-04,24-211,STL,,ARI,W 17-3,,,,,
10,2012,6,2012-10-14,24-221,STL,@,MIA,L 14-17,,,,,
11,2012,7,2012-10-21,24-228,STL,,GNB,L 20-30,,,,,
12,2012,8,2012-10-28,24-235,STL,,NWE,L 7-45,2,2,12,6.00,0
13,2012,9,2012-11-11,24-249,STL,@,SFO,T 24-24,,,,,
14,2012,10,2012-11-18,24-256,STL,,NYJ,L 13-27,2,1,9,9.00,0
15,2012,11,2012-11-25,24-263,STL,@,ARI,W 31-17,,,,,
16,2012,12,2012-12-02,24-270,STL,,SFO,W 16-13,,,,,
17,2012,15,2012-12-23,24-291,STL,@,TAM,W 28-13,1,0,0,,0
18,2012,16,2012-12-30,24-298,STL,@,SEA,L 13-20,1,0,0,,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
19,2013,1,2013-09-08,25-185,STL,,ARI,W 27-24,,,,,
20,2013,2,2013-09-15,25-192,STL,@,ATL,L 24-31,1,1,5,5.00,0
21,2013,5,2013-10-06,25-213,STL,,JAX,W 34-20,,,,,
22,2013,6,2013-10-13,25-220,STL,@,HOU,W 38-13,,,,,
23,2013,7,2013-10-20,25-227,STL,@,CAR,L 15-30,,,,,
24,2013,8,2013-10-28,25-235,STL,,SEA,L 9-14,,,,,
25,2013,9,2013-11-03,25-241,STL,,TEN,L 21-28,,,,,
26,2013,10,2013-11-10,25-248,STL,@,IND,W 38-8,,,,,
27,2013,11,2013-11-24,25-262,STL,,CHI,W 42-21,,,,,
28,2013,12,2013-12-01,25-269,STL,@,SFO,L 13-23,,,,,
29,2013,13,2013-12-08,25-276,STL,@,ARI,L 10-30,,,,,
30,2013,14,2013-12-15,25-283,STL,,NOR,W 27-16,,,,,
31,2013,15,2013-12-22,25-290,STL,,TAM,W 23-13,,,,,
32,2013,16,2013-12-29,25-297,STL,@,SEA,L 9-27,,,,,
,,,32 Games,,,,,13-18-1,8,5,36,7.20,0
