
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2014,11,2014-11-23,23-179,CHI,,TAM,W 21-13
2,2014,12,2014-11-27,23-183,CHI,@,DET,L 17-34
3,2014,13,2014-12-04,23-190,CHI,,DAL,L 28-41
4,2014,15,2014-12-21,23-207,CHI,,DET,L 14-20
5,2014,16,2014-12-28,23-214,CHI,@,MIN,L 9-13
,,,5 Games,,,,,1-4-0
