
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
1,2012,1,2012-09-09,23-354,CHI,,IND,W 41-21,1,0,0,,0,0.0,0,0
2,2012,2,2012-09-13,23-358,CHI,@,GNB,L 10-23,,,,,,,,
3,2012,3,2012-09-23,24-002,CHI,,STL,W 23-6,,,,,,,,
4,2012,8,2012-11-04,24-044,CHI,@,TEN,W 51-20,1,0,0,,0,0.0,0,0
5,2012,9,2012-11-11,24-051,CHI,,HOU,L 6-13,,,,,,,,
6,2012,10,2012-11-19,24-059,CHI,@,SFO,L 7-32,1,0,0,,0,0.0,0,0
7,2012,11,2012-11-25,24-065,CHI,,MIN,W 28-10,1,1,11,11.00,0,0.0,0,0
8,2012,12,2012-12-02,24-072,CHI,,SEA,L 17-23,2,2,8,4.00,0,0.0,0,0
9,2012,13,2012-12-09,24-079,CHI,@,MIN,L 14-21,,,,,,,,
10,2012,14,2012-12-16,24-086,CHI,,GNB,L 13-21,,,,,,,,
11,2012,15,2012-12-23,24-093,CHI,@,ARI,W 28-13,1,0,0,,0,0.0,0,0
12,2012,16,2012-12-30,24-100,CHI,@,DET,W 26-24,1,1,2,2.00,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
13,2013,10,2013-11-10,25-050,BUF,@,PIT,L 10-23,,,,,,,,
14,2013,11,2013-11-17,25-057,BUF,,NYJ,W 37-14,0,0,0,,0,0.0,1,0
15,2013,12,2013-12-01,25-071,BUF,,ATL,L 31-34,0,0,0,,0,0.0,1,3
16,2013,13,2013-12-08,25-078,BUF,@,TAM,L 6-27,,,,,,,,
17,2013,14,2013-12-15,25-085,BUF,@,JAX,W 27-20,,,,,,,,
18,2013,15,2013-12-22,25-092,BUF,,MIA,W 19-0,,,,,,,,
19,2013,16,2013-12-29,25-099,BUF,@,NWE,L 20-34,1,0,0,,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
20,2014,16,2014-12-28,26-098,TAM,,NOR,L 20-23,,,,,,,,
,,,20 Games,,,,,9-11-0,9,4,21,5.25,0,0.0,2,3
