
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
1,2000,2,2000-09-10,23-328,TEN,,KAN,W 17-14,,,,,,,
2,2000,3,2000-09-24,23-342,TEN,@,PIT,W 23-20,,,,,,,
3,2000,4,2000-10-01,23-349,TEN,,NYG,W 28-14,,,,,,,
4,2000,5,2000-10-08,23-356,TEN,@,CIN,W 23-14,,,,,,,
5,2000,6,2000-10-16,23-364,TEN,,JAX,W 27-13,,,,,,,
6,2000,7,2000-10-22,24-004,TEN,@,BAL,W 14-6,,,,,,,
7,2000,8,2000-10-30,24-012,TEN,@,WAS,W 27-21,,,,,,,
8,2000,9,2000-11-05,24-018,TEN,,PIT,W 9-7,,,,,,,
9,2000,10,2000-11-12,24-025,TEN,,BAL,L 23-24,,,,,,,
10,2000,11,2000-11-19,24-032,TEN,,CLE,W 24-10,1,10,10.00,0,0.0,0,0
11,2000,12,2000-11-26,24-039,TEN,@,JAX,L 13-16,,,,,,,
12,2000,13,2000-12-03,24-046,TEN,@,PHI,W 15-13,,,,,,,
13,2000,14,2000-12-10,24-053,TEN,,CIN,W 35-3,,,,,,,
14,2000,15,2000-12-17,24-060,TEN,@,CLE,W 24-0,,,,,,,
15,2000,16,2000-12-25,24-068,TEN,,DAL,W 31-0,,,,,,,
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
16,2001,1,2001-09-09,24-326,TEN,,MIA,L 23-31,,,,,,,
17,2001,2,2001-09-23,24-340,TEN,@,JAX,L 6-13,,,,,,,
18,2001,3,2001-10-07,24-354,TEN,@,BAL,L 7-26,,,,,,,
19,2001,4,2001-10-14,24-361,TEN,,TAM,W 31-28,,,,,,,
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
20,2002,9,2002-11-11,26-024,DEN,,OAK,L 10-34,,,,,,,
21,2002,10,2002-11-17,26-030,DEN,@,SEA,W 31-9,,,,,,,
22,2002,11,2002-11-24,26-037,DEN,,IND,L 20-23,,,,,,,
23,2002,12,2002-12-01,26-044,DEN,@,SDG,L 27-30,,,,,,,
24,2002,13,2002-12-08,26-051,DEN,@,NYJ,L 13-19,,,,,,,
25,2002,14,2002-12-15,26-058,DEN,,KAN,W 31-24,,,,,,,
26,2002,15,2002-12-22,26-065,DEN,@,OAK,L 16-28,,,,,,,
27,2002,16,2002-12-29,26-072,DEN,,ARI,W 37-7,,,,,,,
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
28,2003,1,2003-09-07,26-324,DEN,@,CIN,W 30-10,,,,,,,
29,2003,2,2003-09-14,26-331,DEN,@,SDG,W 37-13,,,,,,,
30,2003,3,2003-09-22,26-339,DEN,,OAK,W 31-10,,,,,,,
31,2003,4,2003-09-28,26-345,DEN,,DET,W 20-16,,,,,,,
32,2003,5,2003-10-05,26-352,DEN,@,KAN,L 23-24,,,,,,,
33,2003,6,2003-10-12,26-359,DEN,,PIT,W 17-14,,,,,,,
34,2003,7,2003-10-19,27-001,DEN,@,MIN,L 20-28,,,,,,,
35,2003,8,2003-10-26,27-008,DEN,@,BAL,L 6-26,,,,,,,
36,2003,9,2003-11-03,27-016,DEN,,NWE,L 26-30,,,,,,,
37,2003,10,2003-11-16,27-029,DEN,,SDG,W 37-8,,,,,,,
38,2003,11,2003-11-23,27-036,DEN,,CHI,L 10-19,,,,,,,
39,2003,12,2003-11-30,27-043,DEN,@,OAK,W 22-8,,,,,,,
40,2003,13,2003-12-07,27-050,DEN,,KAN,W 45-27,,,,,,,
41,2003,14,2003-12-14,27-057,DEN,,CLE,W 23-20,,,,,,,
42,2003,15,2003-12-21,27-064,DEN,@,IND,W 31-17,,,,,,,
43,2003,16,2003-12-28,27-071,DEN,@,GNB,L 3-31,,,,,,,
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
44,2004,1,2004-09-12,27-330,DEN,,KAN,W 34-24,,,,,,,
45,2004,2,2004-09-19,27-337,DEN,@,JAX,L 6-7,,,,,,,
46,2004,3,2004-09-26,27-344,DEN,,SDG,W 23-13,,,,,,,
47,2004,4,2004-10-03,27-351,DEN,@,TAM,W 16-13,,,,,,,
48,2004,5,2004-10-10,27-358,DEN,,CAR,W 20-17,,,,,,,
49,2004,6,2004-10-17,27-365,DEN,@,OAK,W 31-3,,,,,,,
50,2004,7,2004-10-25,28-007,DEN,@,CIN,L 10-23,,,,,,,
51,2004,8,2004-10-31,28-013,DEN,,ATL,L 28-41,,,,,,,
52,2004,9,2004-11-07,28-020,DEN,,HOU,W 31-13,,,,,,,
53,2004,10,2004-11-21,28-034,DEN,@,NOR,W 34-13,,,,,,,
54,2004,11,2004-11-28,28-041,DEN,,OAK,L 24-25,,,,,,,
55,2004,12,2004-12-05,28-048,DEN,@,SDG,L 17-20,,,,,,,
56,2004,13,2004-12-12,28-055,DEN,,MIA,W 20-17,,,,,,,
57,2004,14,2004-12-19,28-062,DEN,@,KAN,L 17-45,,,,,,,
58,2004,15,2004-12-25,28-068,DEN,@,TEN,W 37-16,,,,,,,
59,2004,16,2005-01-02,28-076,DEN,,IND,W 33-14,,,,,,,
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
60,2005,1,2005-09-11,28-328,DEN,@,MIA,L 10-34,0,0,,0,0.0,0,0
61,2005,2,2005-09-18,28-335,DEN,,SDG,W 20-17,0,0,,0,0.0,0,0
62,2005,3,2005-09-26,28-343,DEN,,KAN,W 30-10,0,0,,0,0.0,0,0
63,2005,4,2005-10-02,28-349,DEN,@,JAX,W 20-7,0,0,,0,0.0,0,0
64,2005,5,2005-10-09,28-356,DEN,,WAS,W 21-19,0,0,,0,0.0,0,0
65,2005,6,2005-10-16,28-363,DEN,,NWE,W 28-20,0,0,,0,0.0,0,0
66,2005,7,2005-10-23,29-005,DEN,@,NYG,L 23-24,0,0,,0,0.0,0,0
67,2005,8,2005-10-30,29-012,DEN,,PHI,W 49-21,0,0,,0,0.0,0,0
68,2005,9,2005-11-13,29-026,DEN,@,OAK,W 31-17,0,0,,0,0.0,0,0
69,2005,10,2005-11-20,29-033,DEN,,NYJ,W 27-0,0,0,,0,0.0,0,0
70,2005,11,2005-11-24,29-037,DEN,@,DAL,W 24-21,0,0,,0,0.0,0,0
71,2005,12,2005-12-04,29-047,DEN,@,KAN,L 27-31,0,0,,0,0.0,0,0
72,2005,13,2005-12-11,29-054,DEN,,BAL,W 12-10,0,0,,0,0.0,0,0
73,2005,14,2005-12-17,29-060,DEN,@,BUF,W 28-17,0,0,,0,0.0,0,0
74,2005,15,2005-12-24,29-067,DEN,,OAK,W 22-3,0,0,,0,0.0,0,0
75,2005,16,2005-12-31,29-074,DEN,@,SDG,W 23-7,0,0,,0,0.0,0,0
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
