
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts
1,2006,2,2006-09-17,24-042,SDG,,TEN,W 40-7,,0,0,,0,0,0,,,,1,14,14.00,1,0,0,0,,0,,1,6
2,2006,5,2006-10-15,24-070,SDG,@,SFO,W 48-19,,0,0,,0,0,0,,,,1,-1,-1.00,0,0,0,0,,0,,0,0
3,2006,8,2006-11-05,24-091,SDG,,CLE,W 32-25,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,,0,0
4,2006,12,2006-12-03,24-119,SDG,@,BUF,W 24-21,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts
5,2010,7,2010-10-31,28-086,SEA,@,OAK,L 3-33,,,,,,,,,,,,,,,,,,,,,,
6,2010,8,2010-11-07,28-093,SEA,,NYG,L 7-41,*,12,23,52.17,113,1,2,44.3,4.91,1.87,2,2,1.00,0,0,0,0,,0,,0,0
7,2010,9,2010-11-14,28-100,SEA,@,ARI,W 36-18,,4,6,66.67,53,0,1,54.9,8.83,1.33,4,-4,-1.00,0,0,0,0,,0,,0,0
8,2010,14,2010-12-19,28-135,SEA,,ATL,L 18-34,,8,16,50.00,83,0,0,65.4,5.19,5.19,3,10,3.33,1,0,0,0,,0,1,1,8
9,2010,15,2010-12-26,28-142,SEA,@,TAM,L 15-38,,11,18,61.11,66,0,0,68.3,3.67,3.67,3,5,1.67,0,0,0,0,,0,1,0,2
10,2010,16,2011-01-02,28-149,SEA,,STL,W 16-6,*,22,36,61.11,192,1,0,84.5,5.33,5.89,8,30,3.75,0,0,0,0,,0,,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts
11,2011,5,2011-10-09,29-064,SEA,@,NYG,W 36-25,,11,19,57.89,146,1,0,99.9,7.68,8.74,2,6,3.00,0,0,0,0,,0,,0,0
12,2011,6,2011-10-23,29-078,SEA,@,CLE,L 3-6,*,12,30,40.00,97,0,1,35.0,3.23,1.73,1,6,6.00,0,0,0,0,,0,,0,0
13,2011,7,2011-10-30,29-085,SEA,,CIN,L 12-34,*,4,7,57.14,52,0,0,80.7,7.43,7.43,1,1,1.00,0,0,0,0,,0,,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts
14,2013,7,2013-10-20,31-075,SDG,@,JAX,W 24-6,,0,0,,0,0,0,,,,3,-3,-1.00,0,0,0,0,,0,,0,0
15,2013,13,2013-12-08,31-124,SDG,,NYG,W 37-14,,0,0,,0,0,0,,,,3,-2,-0.67,0,0,0,0,,0,,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts
16,2014,4,2014-09-28,32-053,TEN,@,IND,L 17-41,*,12,23,52.17,177,1,1,74.0,7.70,6.61,5,40,8.00,0,0,0,0,,0,,0,0
17,2014,5,2014-10-05,32-060,TEN,,CLE,L 28-29,,13,21,61.90,194,2,0,123.9,9.24,11.14,2,-1,-0.50,0,0,0,0,,0,,0,0
18,2014,6,2014-10-12,32-067,TEN,,JAX,W 16-14,*,17,28,60.71,233,0,0,87.4,8.32,8.32,2,1,0.50,0,0,0,0,,0,,0,0
19,2014,7,2014-10-19,32-074,TEN,@,WAS,L 17-19,*,17,26,65.38,160,2,1,91.8,6.15,5.96,2,10,5.00,0,0,0,0,,0,,0,0
20,2014,14,2014-12-14,32-130,TEN,,NYJ,L 11-16,,10,24,41.67,203,0,0,72.0,8.46,8.46,2,9,4.50,0,0,0,10,,0,,0,0
21,2014,15,2014-12-18,32-134,TEN,@,JAX,L 13-21,*,24,35,68.57,287,1,0,102.9,8.20,8.77,3,12,4.00,0,0,0,0,,0,,0,0
22,2014,16,2014-12-28,32-144,TEN,,IND,L 10-27,*,12,28,42.86,72,1,0,62.2,2.57,3.29,4,19,4.75,0,0,0,0,,0,,0,0
,,,22 Games,,,,,10-12-0,,189,340,55.59,2128,10,6,76.9,6.26,6.05,52,154,2.96,2,0,0,10,,0,2,2,16
