
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Tkl,Ast
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Tkl,Ast
14,2005,1,2005-09-11,25-258,CIN,@,CLE,W 27-13,*,26,34,76.47,280,2,1,107.5,8.24,8.09,0,0,,0,,0,0,0.0,0,0
15,2005,2,2005-09-18,25-265,CIN,,MIN,W 37-8,*,27,40,67.50,337,3,1,108.0,8.43,8.80,4,3,0.75,0,,0,0,0.0,0,0
16,2005,3,2005-09-25,25-272,CIN,@,CHI,W 24-7,*,16,23,69.57,169,3,0,130.3,7.35,9.96,6,-3,-0.50,0,,0,0,0.0,0,0
17,2005,4,2005-10-02,25-279,CIN,,HOU,W 16-10,*,25,34,73.53,276,1,0,107.0,8.12,8.71,1,-1,-1.00,0,,0,0,0.0,0,0
18,2005,5,2005-10-09,25-286,CIN,@,JAX,L 20-23,*,22,33,66.67,239,2,0,108.0,7.24,8.45,1,1,1.00,0,,0,0,0.0,0,0
19,2005,6,2005-10-16,25-293,CIN,@,TEN,W 31-23,*,27,33,81.82,272,2,0,121.2,8.24,9.45,3,4,1.33,0,,0,0,0.0,0,0
20,2005,7,2005-10-23,25-300,CIN,,PIT,L 13-27,*,21,36,58.33,227,0,2,53.8,6.31,3.81,3,8,2.67,1,,1,6,0.0,0,0
21,2005,8,2005-10-30,25-307,CIN,,GNB,W 21-14,*,22,34,64.71,237,3,1,102.2,6.97,7.41,0,0,,0,,0,0,0.0,0,0
22,2005,9,2005-11-06,25-314,CIN,@,BAL,W 21-9,*,19,26,73.08,248,2,0,128.4,9.54,11.08,5,-6,-1.20,0,,0,0,0.0,0,0
23,2005,10,2005-11-20,25-328,CIN,,IND,L 37-45,*,25,38,65.79,335,2,1,100.2,8.82,8.68,1,1,1.00,0,,0,0,0.0,0,0
24,2005,11,2005-11-27,25-335,CIN,,BAL,W 42-29,*,22,30,73.33,302,3,1,124.6,10.07,10.57,1,14,14.00,0,,0,0,0.0,0,0
25,2005,12,2005-12-04,25-342,CIN,@,PIT,W 38-31,*,22,38,57.89,227,3,0,101.5,5.97,7.55,3,-3,-1.00,0,,0,0,0.0,0,0
26,2005,13,2005-12-11,25-349,CIN,,CLE,W 23-20,*,13,27,48.15,93,1,1,53.5,3.44,2.52,1,1,1.00,0,,0,0,0.0,0,0
27,2005,14,2005-12-18,25-356,CIN,@,DET,W 41-17,*,28,39,71.79,274,3,2,95.5,7.03,6.26,1,8,8.00,0,,0,0,0.0,0,0
28,2005,15,2005-12-24,25-362,CIN,,BUF,L 27-37,*,25,36,69.44,266,2,2,86.1,7.39,6.00,4,14,3.50,0,,0,0,0.0,0,0
29,2005,16,2006-01-01,26-005,CIN,@,KAN,L 3-37,*,5,8,62.50,54,0,0,82.3,6.75,6.75,0,0,,0,,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Tkl,Ast
30,2006,1,2006-09-10,26-257,CIN,@,KAN,W 23-10,*,13,19,68.42,127,0,0,87.0,6.68,6.68,2,-1,-0.50,0,,0,0,0.0,0,0
31,2006,2,2006-09-17,26-264,CIN,,CLE,W 34-17,*,24,40,60.00,352,2,2,84.6,8.80,7.55,3,1,0.33,0,,0,0,0.0,0,0
32,2006,3,2006-09-24,26-271,CIN,@,PIT,W 28-20,*,18,26,69.23,193,4,2,98.2,7.42,7.04,3,5,1.67,0,,0,0,0.0,0,0
33,2006,4,2006-10-01,26-278,CIN,,NWE,L 13-38,*,20,35,57.14,245,0,0,78.9,7.00,7.00,0,0,,0,,0,0,0.0,0,0
34,2006,5,2006-10-15,26-292,CIN,@,TAM,L 13-14,*,24,37,64.86,261,1,0,94.5,7.05,7.59,2,1,0.50,0,,0,0,0.0,0,0
35,2006,6,2006-10-22,26-299,CIN,,CAR,W 17-14,*,23,39,58.97,240,2,0,94.0,6.15,7.18,1,6,6.00,0,,0,0,0.0,0,0
36,2006,7,2006-10-29,26-306,CIN,,ATL,L 27-29,*,24,36,66.67,266,2,0,106.9,7.39,8.50,1,7,7.00,0,,0,0,0.0,0,0
37,2006,8,2006-11-05,26-313,CIN,@,BAL,L 20-26,*,12,26,46.15,194,1,2,52.4,7.46,4.77,1,5,5.00,0,,0,0,0.0,0,0
38,2006,9,2006-11-12,26-320,CIN,,SDG,L 41-49,*,31,42,73.81,440,3,0,131.1,10.48,11.90,1,3,3.00,0,,0,0,0.0,0,0
