
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2013,1,2013-09-08,22-333,NYJ,,TAM,W 18-17,*,24,38,63.16,256,1,1,80.6,6.74,6.08,6,47,7.83,0,0,0,0,,0,0,0,0.0,0,0
2,2013,2,2013-09-12,22-337,NYJ,@,NWE,L 10-13,*,15,35,42.86,214,0,3,27.6,6.11,2.26,3,17,5.67,0,0,0,0,,0,0,0,0.0,0,0
3,2013,3,2013-09-22,22-347,NYJ,,BUF,W 27-20,*,16,29,55.17,331,2,2,89.9,11.41,9.69,4,14,3.50,1,0,0,0,,0,1,6,0.0,0,0
4,2013,4,2013-09-29,22-354,NYJ,@,TEN,L 13-38,*,23,34,67.65,289,1,2,79.2,8.50,6.44,3,7,2.33,0,0,0,0,,0,0,0,0.0,0,0
5,2013,5,2013-10-07,22-362,NYJ,@,ATL,W 30-28,*,16,20,80.00,199,3,0,147.7,9.95,12.95,3,21,7.00,0,0,0,0,,0,0,0,0.0,0,0
6,2013,6,2013-10-13,23-003,NYJ,,PIT,L 6-19,*,19,34,55.88,201,0,2,48.8,5.91,3.26,3,8,2.67,0,0,0,0,,0,0,0,0.0,0,0
7,2013,7,2013-10-20,23-010,NYJ,,NWE,W 30-27,*,17,33,51.52,233,1,1,71.9,7.06,6.30,6,32,5.33,1,0,0,0,,0,1,6,0.0,0,0
8,2013,8,2013-10-27,23-017,NYJ,@,CIN,L 9-49,*,20,30,66.67,159,0,2,51.9,5.30,2.30,2,8,4.00,0,0,0,0,,0,0,0,0.0,0,0
9,2013,9,2013-11-03,23-024,NYJ,,NOR,W 26-20,*,8,19,42.11,115,0,0,62.4,6.05,6.05,6,18,3.00,1,0,0,0,,0,1,6,0.0,0,0
10,2013,10,2013-11-17,23-038,NYJ,@,BUF,L 14-37,*,8,23,34.78,103,0,3,10.1,4.48,-1.39,1,0,0.00,0,0,0,0,,0,0,0,0.0,0,0
11,2013,11,2013-11-24,23-045,NYJ,@,BAL,L 3-19,*,9,22,40.91,127,0,2,22.3,5.77,1.68,3,6,2.00,0,1,1,13,13.00,0,0,0,0.0,0,0
12,2013,12,2013-12-01,23-052,NYJ,,MIA,L 3-23,*,4,10,40.00,29,0,1,8.3,2.90,-1.60,1,2,2.00,0,0,0,0,,0,0,0,0.0,0,0
13,2013,13,2013-12-08,23-059,NYJ,,OAK,W 37-27,*,16,25,64.00,219,1,1,88.6,8.76,7.76,5,50,10.00,1,0,0,0,,0,1,6,0.0,0,0
14,2013,14,2013-12-15,23-066,NYJ,@,CAR,L 20-30,*,15,28,53.57,167,1,1,68.6,5.96,5.07,6,44,7.33,0,0,0,0,,0,0,0,0.0,0,0
15,2013,15,2013-12-22,23-073,NYJ,,CLE,W 24-13,*,20,36,55.56,214,2,0,91.7,5.94,7.06,10,48,4.80,1,0,0,0,,0,1,6,0.0,0,0
