
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
12,2006,4,2006-10-01,26-039,CHI,,SEA,W 37-6,*,17,31,54.84,232,2,0,100.5,7.48,8.77,1,2,2.00,0,0,0,0,,0,,0,0,0.0,0,0
13,2006,5,2006-10-08,26-046,CHI,,BUF,W 40-7,*,15,27,55.56,182,2,0,101.2,6.74,8.22,0,0,,0,0,0,0,,0,,0,0,0.0,0,0
14,2006,6,2006-10-16,26-054,CHI,@,ARI,W 24-23,*,14,37,37.84,144,0,4,10.2,3.89,-0.97,3,-7,-2.33,0,0,0,0,,0,,0,0,0.0,0,0
15,2006,7,2006-10-29,26-067,CHI,,SFO,W 41-10,*,23,29,79.31,252,3,0,137.4,8.69,10.76,0,0,,0,0,0,0,,0,,0,0,0.0,0,0
16,2006,8,2006-11-05,26-074,CHI,,MIA,L 13-31,*,18,42,42.86,210,1,3,36.8,5.00,2.26,0,0,,0,0,0,0,,0,,0,0,0.0,0,0
17,2006,9,2006-11-12,26-081,CHI,@,NYG,W 38-20,*,18,30,60.00,246,3,1,105.7,8.20,8.70,3,-2,-0.67,0,0,0,0,,0,,0,0,0.0,0,0
18,2006,10,2006-11-19,26-088,CHI,@,NYJ,W 10-0,*,11,22,50.00,119,1,0,81.4,5.41,6.32,1,-1,-1.00,0,0,0,0,,0,,0,0,0.0,0,0
19,2006,11,2006-11-26,26-095,CHI,@,NWE,L 13-17,*,15,34,44.12,176,0,3,23.7,5.18,1.21,2,1,0.50,0,0,0,0,,0,,0,0,0.0,0,0
20,2006,12,2006-12-03,26-102,CHI,,MIN,W 23-13,*,6,19,31.58,34,0,3,1.3,1.79,-5.32,4,-9,-2.25,0,0,0,0,,0,,0,0,0.0,0,0
21,2006,13,2006-12-11,26-110,CHI,@,STL,W 42-27,*,13,23,56.52,200,2,0,114.4,8.70,10.43,3,20,6.67,0,0,0,0,,0,,0,0,0.0,0,0
22,2006,14,2006-12-17,26-116,CHI,,TAM,W 34-31,*,29,44,65.91,339,2,0,104.3,7.70,8.61,0,0,,0,0,0,0,,0,,0,0,0.0,0,0
23,2006,15,2006-12-24,26-123,CHI,@,DET,W 26-21,*,20,36,55.56,197,1,0,80.4,5.47,6.03,0,0,,0,0,0,0,,0,,0,0,0.0,0,0
24,2006,16,2006-12-31,26-130,CHI,,GNB,L 7-26,*,2,12,16.67,33,0,3,0.0,2.75,-8.50,2,-1,-0.50,0,0,0,0,,0,,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
25,2007,1,2007-09-09,27-017,CHI,@,SDG,L 3-14,*,12,23,52.17,145,0,1,53.7,6.30,4.35,0,0,,0,0,0,0,,0,,0,0,0.0,0,0
26,2007,2,2007-09-16,27-024,CHI,,KAN,W 20-10,*,20,34,58.82,160,1,2,56.0,4.71,2.65,3,-3,-1.00,0,0,0,0,,0,,0,0,0.0,0,0
27,2007,3,2007-09-23,27-031,CHI,,DAL,L 10-34,*,15,32,46.88,195,0,3,27.5,6.09,1.88,1,12,12.00,0,0,0,0,,0,,0,0,0.0,0,0
28,2007,9,2007-11-11,27-080,CHI,@,OAK,W 17-6,,7,14,50.00,142,1,0,109.8,10.14,11.57,2,4,2.00,0,0,0,0,,0,,0,0,0.0,0,0
29,2007,10,2007-11-18,27-087,CHI,@,SEA,L 23-30,*,24,37,64.86,266,0,0,86.1,7.19,7.19,4,13,3.25,0,0,0,0,,0,,0,0,0.0,0,0
30,2007,11,2007-11-25,27-094,CHI,,DEN,W 37-34,*,17,33,51.52,193,1,1,66.9,5.85,5.09,4,1,0.25,0,0,0,0,,0,,0,0,0.0,0,0
31,2007,12,2007-12-02,27-101,CHI,,NYG,L 16-21,*,25,46,54.35,296,1,0,81.4,6.43,6.87,0,0,,0,0,0,0,,0,,0,0,0.0,0,0
32,2007,13,2007-12-06,27-105,CHI,@,WAS,L 16-24,*,2,6,33.33,14,0,0,42.4,2.33,2.33,0,0,,0,0,0,0,,0,,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
33,2008,5,2008-10-05,28-043,CHI,@,DET,W 34-7,,,,,,,,,,,,,,,,,,,,,,,,,
34,2008,8,2008-11-02,28-071,CHI,,DET,W 27-23,,8,18,44.44,58,1,1,47.9,3.22,1.83,2,3,1.50,1,0,0,0,,0,,1,6,0.0,1,0
35,2008,9,2008-11-09,28-078,CHI,,TEN,L 14-21,*,20,37,54.05,173,1,1,64.4,4.68,4.00,1,1,1.00,1,0,0,0,,0,,1,6,0.0,0,0
36,2008,10,2008-11-16,28-085,CHI,@,GNB,L 3-37,,4,7,57.14,26,0,0,65.2,3.71,3.71,0,0,,0,0,0,0,,0,,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
37,2009,12,2009-12-06,29-105,HOU,@,JAX,L 18-23,,3,9,33.33,33,0,1,5.6,3.67,-1.33,3,9,3.00,0,0,0,0,,0,,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
