
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
1,2011,2,2011-09-18,21-338,JAX,@,NYJ,L 3-32,,5,6,83.33,52,0,0,102.8,8.67,8.67,1,1,1.00,0,0.0,0,0
2,2011,3,2011-09-25,21-345,JAX,@,CAR,L 10-16,*,12,21,57.14,139,1,1,73.3,6.62,5.43,4,2,0.50,0,0.0,0,0
3,2011,4,2011-10-02,21-352,JAX,,NOR,L 10-23,*,16,42,38.10,196,1,1,51.3,4.67,4.07,2,14,7.00,0,0.0,0,0
4,2011,5,2011-10-09,21-359,JAX,,CIN,L 20-30,*,15,28,53.57,221,1,0,91.5,7.89,8.61,5,11,2.20,0,0.0,1,0
5,2011,6,2011-10-16,22-001,JAX,@,PIT,L 13-17,*,12,26,46.15,109,1,0,70.8,4.19,4.96,3,16,5.33,0,0.0,0,0
6,2011,7,2011-10-24,22-009,JAX,,BAL,W 12-7,*,9,20,45.00,93,0,0,59.0,4.65,4.65,5,-1,-0.20,0,0.0,0,0
7,2011,8,2011-10-30,22-015,JAX,@,HOU,L 14-24,*,10,30,33.33,97,1,2,26.7,3.23,0.90,4,14,3.50,0,0.0,0,0
8,2011,9,2011-11-13,22-029,JAX,@,IND,W 17-3,*,14,21,66.67,118,1,1,77.1,5.62,4.43,6,8,1.33,0,0.0,0,0
9,2011,10,2011-11-20,22-036,JAX,@,CLE,L 10-14,*,22,41,53.66,210,0,0,68.1,5.12,5.12,2,10,5.00,0,0.0,0,0
10,2011,11,2011-11-27,22-043,JAX,,HOU,L 13-20,*,13,29,44.83,136,0,1,44.6,4.69,3.14,1,1,1.00,0,0.0,0,0
11,2011,12,2011-12-05,22-051,JAX,,SDG,L 14-38,*,19,33,57.58,195,2,1,82.3,5.91,5.76,6,19,3.17,0,0.0,0,0
12,2011,13,2011-12-11,22-057,JAX,,TAM,W 41-14,*,19,33,57.58,217,2,2,72.4,6.58,5.06,4,-3,-0.75,0,0.0,0,0
13,2011,14,2011-12-15,22-061,JAX,@,ATL,L 14-41,*,12,22,54.55,141,1,1,70.5,6.41,5.27,1,5,5.00,0,0.0,0,0
14,2011,15,2011-12-24,22-070,JAX,@,TEN,L 17-23,*,21,42,50.00,198,0,1,53.5,4.71,3.64,1,4,4.00,0,0.0,0,0
15,2011,16,2012-01-01,22-078,JAX,,IND,W 19-13,*,11,19,57.89,92,1,0,88.0,4.84,5.89,3,-3,-1.00,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
16,2012,1,2012-09-09,22-330,JAX,@,MIN,L 23-26,*,23,39,58.97,260,2,0,96.1,6.67,7.69,5,6,1.20,0,0.0,0,0
17,2012,2,2012-09-16,22-337,JAX,,HOU,L 7-27,*,7,19,36.84,53,1,0,62.8,2.79,3.84,1,5,5.00,0,0.0,0,0
18,2012,3,2012-09-23,22-344,JAX,@,IND,W 22-17,*,10,21,47.62,155,1,0,88.4,7.38,8.33,2,11,5.50,0,0.0,0,0
19,2012,4,2012-09-30,22-351,JAX,,CIN,L 10-27,*,23,34,67.65,186,1,1,78.8,5.47,4.74,3,19,6.33,0,0.0,0,0
20,2012,5,2012-10-07,22-358,JAX,,CHI,L 3-41,*,17,33,51.52,142,0,2,37.7,4.30,1.58,2,1,0.50,0,0.0,0,0
21,2012,6,2012-10-21,23-006,JAX,@,OAK,L 23-26,*,8,12,66.67,110,1,0,123.6,9.17,10.83,0,0,,0,0.0,0,0
22,2012,7,2012-10-28,23-013,JAX,@,GNB,L 15-24,*,27,49,55.10,303,1,0,80.6,6.18,6.59,1,0,0.00,0,0.0,0,0
23,2012,8,2012-11-04,23-020,JAX,,DET,L 14-31,*,27,38,71.05,220,2,2,81.0,5.79,4.47,3,4,1.33,0,0.0,0,0
24,2012,9,2012-11-08,23-024,JAX,,IND,L 10-27,*,18,31,58.06,209,0,1,65.1,6.74,5.29,1,10,10.00,0,0.0,0,0
25,2012,10,2012-11-18,23-034,JAX,@,HOU,L 37-43,*,2,2,100.00,24,0,0,116.7,12.00,12.00,0,0,,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
26,2013,1,2013-09-08,23-328,JAX,,KAN,L 2-28,*,16,35,45.71,121,0,2,30.8,3.46,0.89,4,16,4.00,0,0.0,0,0
27,2013,4,2013-09-29,23-349,JAX,,IND,L 3-37,*,17,32,53.13,179,0,3,30.6,5.59,1.38,2,10,5.00,0,0.0,0,0
28,2013,5,2013-10-06,23-356,JAX,@,STL,L 20-34,*,9,19,47.37,181,1,2,59.2,9.53,5.84,3,6,2.00,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
29,2014,7,2014-10-19,25-004,SFO,@,DEN,L 17-42,,3,7,42.86,38,1,0,100.0,5.43,8.29,1,5,5.00,0,0.0,0,0
,,,29 Games,,,,,5-24-0,,417,784,53.19,4395,23,24,66.8,5.61,4.82,76,191,2.51,0,0.0,1,0
