
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,2015,8,2015-11-01,24-362,SFO,@,STL,L 6-27,5,6,1.20,0,3,2,17,8.50,0
2,2015,9,2015-11-08,25-004,SFO,,ATL,W 17-16,7,20,2.86,0,0,0,0,,0
,,,2 Games,,,,,1-1-0,12,26,2.17,0,3,2,17,8.50,0
