
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2015,1,2015-09-14,22-151,ATL,,PHI,W 26-24,20,80,4.00,0,2,0,0,,0,0,0
2,2015,2,2015-09-20,22-157,ATL,@,NYG,W 24-20,9,32,3.56,1,1,0,0,,0,1,6
3,2015,5,2015-10-11,22-178,ATL,,WAS,W 25-19,2,3,1.50,0,0,0,0,,0,0,0
4,2015,6,2015-10-15,22-182,ATL,@,NOR,L 21-31,4,40,10.00,0,0,0,0,,0,0,0
5,2015,7,2015-10-25,22-192,ATL,@,TEN,W 10-7,3,14,4.67,0,1,0,0,,0,0,0
6,2015,8,2015-11-01,22-199,ATL,,TAM,L 20-23,3,11,3.67,0,1,1,10,10.00,0,0,0
7,2015,9,2015-11-08,22-206,ATL,@,SFO,L 16-17,1,3,3.00,0,0,0,0,,0,0,0
,,,7 Games,,,,,4-3-0,42,183,4.36,1,5,1,10,10.00,0,,6
