
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,2015,1,2015-09-13,24-000,DET,@,SDG,L 28-33,2,6,3.00,0,0,0,0,,0
2,2015,2,2015-09-20,24-007,DET,@,MIN,L 16-26,0,0,,0,0,0,0,,0
3,2015,3,2015-09-27,24-014,DET,,DEN,L 12-24,0,0,,0,0,0,0,,0
4,2015,4,2015-10-05,24-022,DET,@,SEA,L 10-13,2,9,4.50,0,1,1,4,4.00,0
5,2015,5,2015-10-11,24-028,DET,,ARI,L 17-42,10,30,3.00,0,2,1,7,7.00,0
6,2015,6,2015-10-18,24-035,DET,,CHI,W 37-34,3,15,5.00,0,0,0,0,,0
,,,6 Games,,,,,1-5-0,17,60,3.53,0,3,2,11,5.50,0
