
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,2014,3,2014-09-21,24-140,BAL,@,CLE,W 23-21,,,,,,,,,,,,,
2,2014,14,2014-12-14,24-224,BAL,,JAX,W 20-12,,,,,,,,,,,,,
3,2014,15,2014-12-21,24-231,BAL,@,HOU,L 13-25,4,11,2.75,0,5,2,20,10.00,0,0,0,,0
4,2014,16,2014-12-28,24-238,BAL,,CLE,W 20-10,2,1,0.50,0,1,1,7,7.00,0,2,41,20.50,0
,,,4 Games,,,,,3-1-0,6,12,2.00,0,6,3,27,9.00,0,2,41,20.50,0
