
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2012,14,2012-12-13,23-261,PHI,,CIN,L 13-34
2,2012,15,2012-12-23,23-271,PHI,,WAS,L 20-27
3,2012,16,2012-12-30,23-278,PHI,@,NYG,L 7-42
,,,3 Games,,,,,0-3-0
