
,,,,,,,,,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD
1,2015,3,2015-09-28,22-323,GNB,,KAN,W 38-28,2,17,8.50,0
2,2015,4,2015-10-04,22-329,GNB,@,SFO,W 17-3,0,0,,0
3,2015,5,2015-10-11,22-336,GNB,,STL,W 24-10,0,0,,0
4,2015,7,2015-11-01,22-357,GNB,@,DEN,L 10-29,2,2,1.00,0
5,2015,8,2015-11-08,22-364,GNB,@,CAR,L 29-37,0,0,,0
6,2015,9,2015-11-15,23-006,GNB,,DET,L 16-18,0,0,,0
,,,6 Games,,,,,3-3-0,4,19,4.75,0
