
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2015,3,2015-09-27,21-055,STL,,PIT,L 6-12,6,9,1.50,0,1,1,5,5.00,0,0,0
2,2015,4,2015-10-04,21-062,STL,@,ARI,W 24-22,19,146,7.68,0,2,2,15,7.50,0,0,0
3,2015,5,2015-10-11,21-069,STL,@,GNB,L 10-24,30,159,5.30,0,0,0,0,,0,0,0
4,2015,6,2015-10-25,21-083,STL,,CLE,W 24-6,19,128,6.74,2,5,4,35,8.75,0,2,12
5,2015,7,2015-11-01,21-090,STL,,SFO,W 27-6,20,133,6.65,1,3,3,13,4.33,0,1,6
6,2015,8,2015-11-08,21-097,STL,@,MIN,L 18-21,24,89,3.71,1,5,3,20,6.67,0,1,6
7,2015,9,2015-11-15,21-104,STL,,CHI,L 13-37,12,45,3.75,1,3,3,44,14.67,0,1,6
,,,7 Games,,,,,3-4-0,130,709,5.45,5,19,16,132,8.25,0,,30
