
,,,,,,,,,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Sk,Tkl,Ast
1,2015,1,2015-09-13,24-120,NYG,@,DAL,L 26-27,0.0,0,0
2,2015,2,2015-09-20,24-127,NYG,,ATL,L 20-24,0.0,0,0
3,2015,3,2015-09-24,24-131,NYG,,WAS,W 32-21,0.0,0,0
4,2015,4,2015-10-04,24-141,NYG,@,BUF,W 24-10,1.0,1,0
5,2015,5,2015-10-11,24-148,NYG,,SFO,W 30-27,0.0,0,0
6,2015,6,2015-10-19,24-156,NYG,@,PHI,L 7-27,0.0,0,0
7,2015,7,2015-10-25,24-162,NYG,,DAL,W 27-20,0.0,0,0
8,2015,8,2015-11-01,24-169,NYG,@,NOR,L 49-52,0.0,0,0
9,2015,9,2015-11-08,24-176,NYG,@,TAM,W 32-18,0.0,0,0
10,2015,10,2015-11-15,24-183,NYG,,NWE,L 26-27,0.0,0,0
,,,10 Games,,,,,5-5-0,1.0,1,0
