
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,2015,1,2015-09-13,22-346,GNB,@,CHI,W 31-23,0,0,0,,0,1,0,0.00,0
2,2015,2,2015-09-20,22-353,GNB,,SEA,W 27-17,0,0,0,,0,0,0,,0
3,2015,3,2015-09-28,22-361,GNB,,KAN,W 38-28,0,0,0,,0,0,0,,0
4,2015,4,2015-10-04,23-002,GNB,@,SFO,W 17-3,0,0,0,,0,0,0,,0
5,2015,5,2015-10-11,23-009,GNB,,STL,W 24-10,0,0,0,,0,0,0,,0
6,2015,6,2015-10-18,23-016,GNB,,SDG,W 27-20,0,0,0,,0,0,0,,0
7,2015,7,2015-11-01,23-030,GNB,@,DEN,L 10-29,0,0,0,,0,0,0,,0
8,2015,8,2015-11-08,23-037,GNB,@,CAR,L 29-37,1,1,18,18.00,0,0,0,,0
9,2015,9,2015-11-15,23-044,GNB,,DET,L 16-18,0,0,0,,0,0,0,,0
,,,9 Games,,,,,6-3-0,1,1,18,18.00,0,1,0,0.00,0
