
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts
1,2014,7,2014-10-26,23-199,ARI,,PHI,W 24-20,,,,,,,,,,,,,,,,,,,,
2,2014,8,2014-11-02,23-206,ARI,@,DAL,W 28-17,5,12,2.40,1,0,0,0,,0,0,0,,0,0,0,,,,1,6
3,2014,9,2014-11-09,23-213,ARI,,STL,W 31-14,1,1,1.00,0,1,0,0,,0,0,0,,0,0,0,,,,0,0
4,2014,10,2014-11-16,23-220,ARI,,DET,W 14-6,,,,,,,,,,,,,,,,,,,,
5,2014,11,2014-11-23,23-227,ARI,@,SEA,L 3-19,,,,,,,,,,,,,,,,,,,,
6,2014,12,2014-11-30,23-234,ARI,@,ATL,L 18-29,5,16,3.20,0,3,3,24,8.00,0,0,0,,0,0,0,,,,0,0
7,2014,13,2014-12-07,23-241,ARI,,KAN,W 17-14,3,6,2.00,0,0,0,0,,0,0,0,,0,0,0,,,,0,0
8,2014,14,2014-12-11,23-245,ARI,@,STL,W 12-6,,,,,,,,,,,,,,,,,,,,
9,2014,15,2014-12-21,23-255,ARI,,SEA,L 6-35,1,6,6.00,0,4,1,3,3.00,0,0,0,,0,0,0,,,,0,0
10,2014,16,2014-12-28,23-262,ARI,@,SFO,L 17-20,0,0,,0,3,3,2,0.67,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0
,,,10 Games,,,,,6-4-0,15,41,2.73,1,11,7,29,4.14,0,0,1,0.00,0,0,0,39.6,0.00,0.00,1,6
