
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2015,1,2015-09-13,22-041,SEA,@,STL,L 31-34,2,5,2.50,0,0,0,0,,0,0,0
2,2015,2,2015-09-20,22-048,SEA,@,GNB,L 17-27,0,0,,0,0,0,0,,0,0,0
3,2015,3,2015-09-27,22-055,SEA,,CHI,W 26-0,16,104,6.50,0,1,0,0,,0,0,0
4,2015,4,2015-10-05,22-063,SEA,,DET,W 13-10,17,48,2.82,0,1,1,-1,-1.00,0,0,0
5,2015,5,2015-10-11,22-069,SEA,@,CIN,L 24-27,23,169,7.35,1,0,0,0,,0,1,6
6,2015,6,2015-10-18,22-076,SEA,,CAR,L 23-27,1,8,8.00,0,0,0,0,,0,0,0
7,2015,7,2015-10-22,22-080,SEA,@,SFO,W 20-3,6,32,5.33,0,2,2,9,4.50,0,0,0
8,2015,8,2015-11-01,22-090,SEA,@,DAL,W 13-12,4,10,2.50,0,0,0,0,,0,0,0
9,2015,9,2015-11-15,22-104,SEA,,ARI,L 32-39,2,19,9.50,0,0,0,0,,0,0,0
,,,9 Games,,,,,4-5-0,71,395,5.56,1,4,3,8,2.67,0,,6
