
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,2012,13,2012-12-09,23-048,SFO,,MIA,W 27-13,8,30,3.75,0,1,1,15,15.00,0,3,79,26.33,0,0,0,,0
2,2012,14,2012-12-16,23-055,SFO,@,NWE,W 41-34,8,31,3.88,0,2,0,0,,0,4,133,33.25,0,0,0,,0
3,2012,15,2012-12-23,23-062,SFO,@,SEA,L 13-42,4,15,3.75,0,2,2,14,7.00,0,6,172,28.67,0,0,0,,0
4,2012,16,2012-12-30,23-069,SFO,,ARI,W 27-13,7,49,7.00,0,0,0,0,,0,1,33,33.00,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
5,2013,4,2013-09-26,23-339,SFO,@,STL,W 35-11,3,0,0.00,0,0,0,0,,0,0,0,,0,0,0,,0
6,2013,5,2013-10-06,23-349,SFO,,HOU,W 34-3,4,31,7.75,0,0,0,0,,0,1,29,29.00,0,0,0,,0
7,2013,9,2013-11-10,24-019,SFO,,CAR,L 9-10,1,-1,-1.00,0,0,0,0,,0,0,0,,0,3,35,11.67,0
8,2013,10,2013-11-17,24-026,SFO,@,NOR,L 20-23,2,7,3.50,0,1,1,4,4.00,0,0,0,,0,2,23,11.50,0
9,2013,11,2013-11-25,24-034,SFO,@,WAS,W 27-6,0,0,,0,1,0,0,,0,2,53,26.50,0,5,72,14.40,0
10,2013,12,2013-12-01,24-040,SFO,,STL,W 23-13,0,0,,0,0,0,0,,0,1,24,24.00,0,2,5,2.50,0
11,2013,13,2013-12-08,24-047,SFO,,SEA,W 19-17,0,0,,0,0,0,0,,0,3,81,27.00,0,1,0,0.00,0
12,2013,14,2013-12-15,24-054,SFO,@,TAM,W 33-14,2,22,11.00,0,0,0,0,,0,1,23,23.00,0,5,51,10.20,0
13,2013,15,2013-12-23,24-062,SFO,,ATL,W 34-24,0,0,,0,0,0,0,,0,2,49,24.50,0,2,20,10.00,0
14,2013,16,2013-12-29,24-068,SFO,@,ARI,W 23-20,0,0,,0,1,1,12,12.00,0,2,62,31.00,0,3,45,15.00,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
15,2014,1,2014-09-07,24-320,SFO,@,DAL,W 28-17,2,0,0.00,0,0,0,0,,0,0,0,,0,0,0,,0
16,2014,11,2014-11-23,25-032,MIA,@,DEN,L 36-39,2,4,2.00,0,1,0,0,,0,0,0,,0,0,0,,0
17,2014,15,2014-12-21,25-060,MIA,,MIN,W 37-35,1,5,5.00,0,0,0,0,,0,0,0,,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
18,2015,1,2015-09-13,25-326,MIA,@,WAS,W 17-10,0,0,,0,0,0,0,,0,2,54,27.00,0,0,0,,0
,,,18 Games,,,,,14-4-0,44,193,4.39,0,9,5,45,9.00,0,28,792,28.29,0,23,251,10.91,0
