
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2014,7,2014-10-26,25-178,CLE,,OAK,W 23-13
2,2014,8,2014-11-02,25-185,CLE,,TAM,W 22-17
3,2014,9,2014-11-06,25-189,CLE,@,CIN,W 24-3
,,,3 Games,,,,,3-0-0
