
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,2015,1,2015-09-13,21-354,IND,@,BUF,L 14-27,1,2,2.00,0,1,1,18,18.00,0,2,53,26.50,0
2,2015,2,2015-09-21,21-362,IND,,NYJ,L 7-20,0,0,,0,0,0,0,,0,4,98,24.50,0
3,2015,3,2015-09-27,22-003,IND,@,TEN,W 35-33,0,0,,0,1,0,0,,0,0,0,,0
,,,3 Games,,,,,1-2-0,1,2,2.00,0,2,1,18,18.00,0,6,151,25.17,0
