
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,2015,1,2015-09-13,23-271,ARI,,NOR,W 31-19,0,0,,0,2,1,55,55.00,1,1,43,43.00,0,1,6
2,2015,2,2015-09-20,23-278,ARI,@,CHI,W 48-23,5,42,8.40,1,2,1,3,3.00,0,1,108,108.00,1,2,12
3,2015,3,2015-09-27,23-285,ARI,,SFO,W 47-7,7,25,3.57,0,3,3,16,5.33,0,0,0,,0,0,0
4,2015,4,2015-10-04,23-292,ARI,,STL,L 22-24,3,18,6.00,0,10,4,63,15.75,1,1,19,19.00,0,1,6
5,2015,5,2015-10-11,23-299,ARI,@,DET,W 42-17,3,6,2.00,2,0,0,0,,0,1,35,35.00,0,2,12
6,2015,6,2015-10-18,23-306,ARI,@,PIT,L 13-25,3,9,3.00,0,1,1,8,8.00,0,6,123,20.50,0,0,0
7,2015,7,2015-10-26,23-314,ARI,,BAL,W 26-18,3,5,1.67,0,2,2,19,9.50,0,0,0,,0,0,0
8,2015,8,2015-11-01,23-320,ARI,@,CLE,W 34-20,1,4,4.00,0,2,2,44,22.00,0,3,63,21.00,0,0,0
9,2015,9,2015-11-15,23-334,ARI,@,SEA,W 39-32,0,0,,0,1,1,8,8.00,0,4,79,19.75,0,0,0
,,,9 Games,,,,,7-2-0,25,109,4.36,3,23,15,216,14.40,2,17,470,27.65,1,,36
