
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2013,1,2013-09-08,23-256,ATL,@,NOR,L 17-23,1,1,15,15.00,0
2,2013,2,2013-09-15,23-263,ATL,,STL,W 31-24,1,1,14,14.00,0
,,,2 Games,,,,,1-1-0,2,2,29,14.50,0
