
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,2014,3,2014-09-21,21-157,CAR,,PIT,L 19-37,0,0,,0,1,0,0,,0
2,2014,4,2014-09-28,21-164,CAR,@,BAL,L 10-38,12,26,2.17,0,5,3,11,3.67,0
3,2014,5,2014-10-05,21-171,CAR,,CHI,W 31-24,10,36,3.60,0,1,1,16,16.00,0
4,2014,6,2014-10-12,21-178,CAR,@,CIN,T 37-37,8,15,1.88,0,1,1,4,4.00,0
5,2014,7,2014-10-19,21-185,CAR,@,GNB,L 17-38,,,,,,,,,
6,2014,8,2014-10-26,21-192,CAR,,SEA,L 9-13,1,1,1.00,0,0,0,0,,0
,,,6 Games,,,,,1-4-1,31,78,2.52,0,8,5,31,6.20,0
