
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,2015,1,2015-09-13,23-020,IND,@,BUF,L 14-27,4,11,2.75,0,0,0,0,,0
2,2015,2,2015-09-21,23-028,IND,,NYJ,L 7-20,5,12,2.40,0,5,5,27,5.40,0
3,2015,3,2015-09-27,23-034,IND,@,TEN,W 35-33,2,8,4.00,0,0,0,0,,0
4,2015,4,2015-10-04,23-041,IND,,JAX,W 16-13,3,2,0.67,0,0,0,0,,0
5,2015,5,2015-10-08,23-045,IND,@,HOU,W 27-20,3,6,2.00,0,1,1,6,6.00,0
,,,5 Games,,,,,3-2-0,17,39,2.29,0,6,6,33,5.50,0
