
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD
1,2014,1,2014-09-07,23-193,CLE,@,PIT,L 27-30,0,0,0,,0,1,2,2.00,0
2,2014,2,2014-09-14,23-200,CLE,,NOR,W 26-24,2,0,0,,0,0,0,,0
3,2014,3,2014-09-21,23-207,CLE,,BAL,L 21-23,0,0,0,,0,1,0,0.00,0
4,2014,4,2014-10-05,23-221,CLE,@,TEN,W 29-28,2,1,12,12.00,0,0,0,,0
5,2014,5,2014-10-12,23-228,CLE,,PIT,W 31-10,1,0,0,,0,0,0,,0
6,2014,6,2014-10-19,23-235,CLE,@,JAX,L 6-24,1,1,3,3.00,0,0,0,,0
7,2014,10,2014-11-16,23-263,CLE,,HOU,L 7-23,1,0,0,,0,0,0,,0
8,2014,11,2014-11-23,23-270,CLE,@,ATL,W 26-24,1,0,0,,0,0,0,,0
9,2014,12,2014-11-30,23-277,CLE,@,BUF,L 10-26,1,1,0,0.00,0,0,0,,0
10,2014,13,2014-12-07,23-284,CLE,,IND,L 24-25,,,,,,,,,
11,2014,14,2014-12-14,23-291,CLE,,CIN,L 0-30,0,,,,,,,,
12,2014,15,2014-12-21,23-298,CLE,@,CAR,L 13-17,,,,,,,,,
,,,12 Games,,,,,4-8-0,9,3,15,5.00,0,2,2,1.00,0
