
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,2015,1,2015-09-13,24-017,BAL,@,DEN,L 13-19,9,30,3.33,0,1,1,4,4.00,0
2,2015,2,2015-09-20,24-024,BAL,@,OAK,L 33-37,1,5,5.00,0,1,1,2,2.00,0
3,2015,3,2015-09-27,24-031,BAL,,CIN,L 24-28,3,12,4.00,0,0,0,0,,0
4,2015,4,2015-10-01,24-035,BAL,@,PIT,W 23-20,5,19,3.80,0,0,0,0,,0
5,2015,5,2015-10-11,24-045,BAL,,CLE,L 30-33,8,58,7.25,0,1,0,0,,0
6,2015,6,2015-10-18,24-052,BAL,@,SFO,L 20-25,4,13,3.25,0,3,1,8,8.00,0
7,2015,7,2015-10-26,24-060,BAL,@,ARI,L 18-26,3,25,8.33,0,1,1,10,10.00,0
8,2015,8,2015-11-01,24-066,BAL,,SDG,W 29-26,4,1,0.25,0,4,3,30,10.00,0
9,2015,9,2015-11-15,24-080,BAL,,JAX,L 20-22,5,19,3.80,0,2,1,4,4.00,0
,,,9 Games,,,,,2-7-0,42,182,4.33,0,13,8,58,7.25,0
