
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
1,2013,4,2013-10-06,24-053,GNB,,DET,W 22-9,,,,,,,,,,,,,,,,
2,2013,5,2013-10-13,24-060,GNB,@,BAL,W 19-17,0,0,,0,0,0,0,,0,1,19,19.00,0,0.0,0,0
3,2013,10,2013-11-17,24-095,TAM,,ATL,W 41-28,3,3,1.00,0,0,0,0,,0,0,0,,0,0.0,0,0
4,2013,11,2013-11-24,24-102,TAM,@,DET,W 24-21,,,,,,,,,,,,,,,,
5,2013,13,2013-12-08,24-116,TAM,,BUF,W 27-6,5,17,3.40,0,0,0,0,,0,0,0,,0,0.0,0,0
6,2013,14,2013-12-15,24-123,TAM,,SFO,L 14-33,0,0,,0,0,0,0,,0,0,0,,0,0.0,1,0
7,2013,15,2013-12-22,24-130,TAM,@,STL,L 13-23,,,,,,,,,,,,,,,,
8,2013,16,2013-12-29,24-137,TAM,@,NOR,L 17-42,1,3,3.00,0,2,2,23,11.50,0,0,0,,0,0.0,0,0
,,,8 Games,,,,,5-3-0,9,23,2.56,0,2,2,23,11.50,0,1,19,19.00,0,0.0,1,0
