
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2015,1,2015-09-13,25-049,TEN,@,TAM,W 42-14,0,0,,0,0,0,0,,0,0,0
2,2015,2,2015-09-20,25-056,TEN,@,CLE,L 14-28,1,3,3.00,0,1,1,19,19.00,0,0,0
3,2015,3,2015-09-27,25-063,TEN,,IND,L 33-35,4,9,2.25,1,0,0,0,,0,1,6
4,2015,4,2015-10-11,25-077,TEN,,BUF,L 13-14,0,0,,0,0,0,0,,0,0,0
5,2015,5,2015-10-18,25-084,TEN,,MIA,L 10-38,0,0,,0,0,0,0,,0,0,0
6,2015,6,2015-10-25,25-091,TEN,,ATL,L 7-10,0,0,,0,0,0,0,,0,0,0
7,2015,7,2015-11-01,25-098,TEN,@,HOU,L 6-20,0,0,,0,0,0,0,,0,0,0
8,2015,8,2015-11-08,25-105,TEN,@,NOR,W 34-28,0,0,,0,0,0,0,,0,0,0
9,2015,9,2015-11-15,25-112,TEN,,CAR,L 10-27,0,0,,0,1,1,14,14.00,0,0,0
10,2015,10,2015-11-19,25-116,TEN,@,JAX,L 13-19,0,0,,0,1,1,2,2.00,0,0,0
,,,10 Games,,,,,2-8-0,5,12,2.40,1,3,3,35,11.67,0,,6
