
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,2008,1,2008-09-08,22-231,DEN,@,OAK,W 41-14,3,14,4.67,0,2,1,4,4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,1
2,2008,2,2008-09-14,22-237,DEN,,SDG,W 39-38,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2008,3,2008-09-21,22-244,DEN,,NOR,W 34-32,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,2,47,23.50,0,0,0,0.0,0,0
4,2008,4,2008-09-28,22-251,DEN,@,KAN,L 19-33,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,1,0
5,2008,6,2008-10-12,22-265,DEN,,JAX,L 17-24,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
6,2008,7,2008-10-20,22-273,DEN,@,NWE,L 7-41,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2008,8,2008-11-02,22-286,DEN,,MIA,L 17-26,0,0,,0,9,7,116,16.57,1,0,0,,0,0,0,,,,0,0,,0,1,6,0.0,0,0
8,2008,9,2008-11-06,22-290,DEN,@,CLE,W 34-30,8,24,3.00,0,1,0,0,,0,0,0,,0,0,0,,,,2,18,9.00,0,0,0,0.0,0,0
9,2008,10,2008-11-16,22-300,DEN,@,ATL,W 24-20,10,44,4.40,2,3,3,26,8.67,0,0,0,,0,0,0,,,,0,0,,0,2,12,0.0,0,0
10,2008,11,2008-11-23,22-307,DEN,,OAK,L 10-31,17,74,4.35,1,2,2,22,11.00,0,0,0,,0,0,0,,,,0,0,,0,1,6,0.0,0,0
11,2008,12,2008-11-30,22-314,DEN,@,NYJ,W 34-17,22,129,5.86,1,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,6,0.0,0,0
12,2008,13,2008-12-07,22-321,DEN,,KAN,W 24-17,8,58,7.25,1,1,1,11,11.00,0,0,0,,0,0,0,,,,0,0,,0,1,6,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
13,2009,1,2009-09-13,23-235,DEN,@,CIN,W 12-7,1,2,2.00,0,2,1,6,6.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,1
