
,,,,,,,,,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD
1,2009,10,2009-11-19,24-233,MIA,@,CAR,W 24-17,,,,
2,2009,16,2010-01-03,24-278,MIA,,PIT,L 24-30,1,5,5.00,0
,,,2 Games,,,,,1-1-0,1,5,5.00,0
