
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2013,7,2013-10-20,22-149,PHI,,DAL,L 3-17
2,2013,11,2013-11-17,22-177,PHI,,WAS,W 24-16
,,,2 Games,,,,,1-1-0
