
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2013,1,2013-09-08,23-135,MIN,@,DET,L 24-34,0,0,,0,1,1,8,8.00,0,0,0
2,2013,2,2013-09-15,23-142,MIN,@,CHI,L 30-31,0,0,,0,1,0,0,,0,0,0
3,2013,3,2013-09-22,23-149,MIN,,CLE,L 27-31,0,0,,0,1,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
4,2014,16,2014-12-28,24-246,MIN,,CHI,W 13-9,,,,,,,,,,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
5,2015,1,2015-09-14,25-141,MIN,@,SFO,L 3-20,0,0,,0,0,0,0,,0,0,0
6,2015,2,2015-09-20,25-147,MIN,,DET,W 26-16,1,1,1.00,1,0,0,0,,0,1,6
7,2015,3,2015-09-27,25-154,MIN,,SDG,W 31-14,1,1,1.00,1,0,0,0,,0,1,6
8,2015,4,2015-10-04,25-161,MIN,@,DEN,L 20-23,0,0,,0,1,0,0,,0,0,0
9,2015,5,2015-10-18,25-175,MIN,,KAN,W 16-10,0,0,,0,1,1,3,3.00,0,0,0
10,2015,6,2015-10-25,25-182,MIN,@,DET,W 28-19,2,2,1.00,0,1,1,49,49.00,0,0,0
11,2015,7,2015-11-01,25-189,MIN,@,CHI,W 23-20,0,0,,0,0,0,0,,0,0,0
12,2015,8,2015-11-08,25-196,MIN,,STL,W 21-18,0,0,,0,0,0,0,,0,0,0
13,2015,9,2015-11-15,25-203,MIN,@,OAK,W 30-14,0,0,,0,0,0,0,,0,0,0
,,,13 Games,,,,,8-5-0,4,4,1.00,2,6,3,60,20.00,0,2,12
