
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,2013,1,2013-09-09,22-200,HOU,@,SDG,W 31-28,,,,,,,,,,,,,
2,2013,3,2013-09-22,22-213,HOU,@,BAL,L 9-30,2,4,2.00,0,0,0,0,,0,0,0,,0
3,2013,5,2013-10-06,22-227,HOU,@,SFO,L 3-34,1,5,5.00,0,0,0,0,,0,1,20,20.00,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
4,2015,4,2015-10-04,24-225,BUF,,NYG,L 10-24,0,0,,0,1,1,-6,-6.00,0,0,0,,0
5,2015,5,2015-10-11,24-232,BUF,@,TEN,W 14-13,2,3,1.50,0,0,0,0,,0,0,0,,0
,,,5 Games,,,,,2-3-0,5,12,2.40,0,1,1,-6,-6.00,0,1,20,20.00,0
