
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,2015,2,2015-09-20,22-213,SFO,@,PIT,L 18-43,7,14,2.00,0,4,2,4,2.00,0
2,2015,3,2015-09-27,22-220,SFO,@,ARI,L 7-47,7,6,0.86,0,3,1,5,5.00,0
3,2015,6,2015-10-18,22-241,SFO,,BAL,W 25-20,1,0,0.00,0,0,0,0,,0
4,2015,7,2015-10-22,22-245,SFO,,SEA,L 3-20,0,0,,0,,0,0,,0
,,,4 Games,,,,,1-3-0,15,20,1.33,0,7,3,9,3.00,0
