
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2013,14,2013-12-15,22-197,CLE,,CHI,L 31-38,8,38,4.75,1,4,4,46,11.50,0,1,6
2,2013,15,2013-12-22,22-204,CLE,@,NYJ,L 13-24,17,64,3.76,1,3,2,12,6.00,0,1,6
3,2013,16,2013-12-29,22-211,CLE,@,PIT,L 7-20,18,69,3.83,0,2,2,-1,-0.50,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
4,2014,7,2014-10-26,23-147,NOR,,GNB,W 44-23,,,,,,,,,,,
5,2014,8,2014-10-30,23-151,NOR,@,CAR,W 28-10,1,2,2.00,0,0,0,0,,0,0,0
6,2014,9,2014-11-09,23-161,NOR,,SFO,L 24-27,,,,,,,,,,,
,,,6 Games,,,,,2-4-0,44,173,3.93,2,9,8,57,7.13,0,2,12
