
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
1,2014,1,2014-09-07,22-353,CHI,,BUF,L 20-23,0,0,0,,0,1,21,21.00,0,0.0,0,1
2,2014,2,2014-09-14,22-360,CHI,@,SFO,W 28-20,0,0,0,,0,1,21,21.00,0,0.0,0,0
3,2014,3,2014-09-22,23-003,CHI,@,NYJ,W 27-19,0,0,0,,0,0,0,,0,0.0,1,0
4,2014,4,2014-09-28,23-009,CHI,,GNB,L 17-38,,0,0,,0,0,0,,0,0.0,1,0
5,2014,5,2014-10-05,23-016,CHI,@,CAR,L 24-31,0,0,0,,0,0,0,,0,0.0,1,0
6,2014,6,2014-10-12,23-023,CHI,@,ATL,W 27-13,0,0,0,,0,0,0,,0,0.0,1,0
7,2014,7,2014-10-19,23-030,CHI,,MIA,L 14-27,,,,,,,,,,,,
8,2014,8,2014-10-26,23-037,CHI,@,NWE,L 23-51,,,,,,,,,,,,
9,2014,9,2014-11-09,23-051,CHI,@,GNB,L 14-55,0,0,0,,0,0,0,,0,0.0,1,0
10,2014,10,2014-11-16,23-058,CHI,,MIN,W 21-13,0,0,0,,0,1,17,17.00,0,0.0,0,0
11,2014,11,2014-11-23,23-065,CHI,,TAM,W 21-13,0,0,0,,0,0,0,,0,0.0,1,0
12,2014,12,2014-11-27,23-069,CHI,@,DET,L 17-34,1,1,-1,-1.00,0,0,0,,0,0.0,1,1
13,2014,13,2014-12-04,23-076,CHI,,DAL,L 28-41,0,0,0,,0,0,9,,0,0.0,0,0
14,2014,14,2014-12-15,23-087,CHI,,NOR,L 15-31,0,0,0,,0,1,20,20.00,0,0.0,0,0
15,2014,15,2014-12-21,23-093,CHI,,DET,L 14-20,0,0,0,,0,0,0,,0,0.0,1,0
16,2014,16,2014-12-28,23-100,CHI,@,MIN,L 9-13,,,,,,,,,,,,
,,,16 Games,,,,,5-11-0,1,1,-1,-1.00,0,4,88,22.00,0,0.0,8,2
