
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Sk,Tkl,Ast
1,2011,5,2011-10-09,23-039,TAM,@,SFO,L 3-48,5,13,2.60,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Sk,Tkl,Ast
2,2012,16,2012-12-30,24-121,SEA,,STL,W 20-13,,,,,,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Sk,Tkl,Ast
3,2013,1,2013-09-08,25-008,SEA,@,CAR,W 12-7,,,,,,,
4,2013,3,2013-09-22,25-022,NYG,@,CAR,L 0-38,,,,,,,
5,2013,4,2013-09-29,25-029,NYG,@,KAN,L 7-31,0,0,,0,0.0,1,0
6,2013,5,2013-10-06,25-036,NYG,,PHI,L 21-36,0,0,,0,0.0,1,0
7,2013,6,2013-10-10,25-040,NYG,@,CHI,L 21-27,,,,,,,
8,2013,7,2013-10-21,25-051,NYG,,MIN,W 23-7,,,,,,,
9,2013,8,2013-10-27,25-057,NYG,@,PHI,W 15-7,,,,,,,
10,2013,9,2013-11-10,25-071,NYG,,OAK,W 24-20,,,,,,,
11,2013,11,2013-11-24,25-085,NYG,,DAL,L 21-24,0,0,,0,0.0,1,0
12,2013,12,2013-12-01,25-092,NYG,@,WAS,W 24-17,0,0,,0,0.0,0,1
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Sk,Tkl,Ast
13,2014,10,2014-11-16,26-077,SEA,@,KAN,L 20-24,,,,,,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Sk,Tkl,Ast
14,2015,1,2015-09-14,27-014,ATL,,PHI,W 26-24,0,0,,0,0.0,0,0
15,2015,2,2015-09-20,27-020,ATL,@,NYG,W 24-20,0,0,,0,0.0,1,0
16,2015,3,2015-09-27,27-027,ATL,@,DAL,W 39-28,0,0,,0,0.0,0,0
17,2015,4,2015-10-04,27-034,ATL,,HOU,W 48-21,0,0,,0,0.0,4,1
18,2015,5,2015-10-11,27-041,ATL,,WAS,W 25-19,0,0,,0,0.0,0,0
19,2015,6,2015-10-15,27-045,ATL,@,NOR,L 21-31,0,0,,0,0.0,0,0
,,,19 Games,,,,,11-8-0,5,13,2.60,0,0.0,8,2
