
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2015,1,2015-09-13,22-072,WAS,,MIA,L 10-17,6,28,4.67,0,0,0,0,,0,0,0
2,2015,2,2015-09-20,22-079,WAS,,STL,W 24-10,19,123,6.47,2,3,3,23,7.67,0,2,12
3,2015,3,2015-09-24,22-083,WAS,@,NYG,L 21-32,11,38,3.45,0,0,0,0,,0,0,0
4,2015,4,2015-10-04,22-093,WAS,,PHI,W 23-20,7,11,1.57,0,0,0,0,,0,0,0
5,2015,5,2015-10-11,22-100,WAS,@,ATL,L 19-25,11,20,1.82,1,2,1,17,17.00,0,1,6
6,2015,7,2015-10-25,22-114,WAS,,TAM,W 31-30,9,29,3.22,0,4,3,22,7.33,0,0,0
7,2015,8,2015-11-08,22-128,WAS,@,NWE,L 10-27,11,27,2.45,0,3,2,17,8.50,0,0,0
8,2015,9,2015-11-15,22-135,WAS,,NOR,W 47-14,11,56,5.09,0,3,3,131,43.67,1,1,6
,,,8 Games,,,,,4-4-0,85,332,3.91,3,15,12,210,17.50,1,,24
