
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,2015,1,2015-09-13,23-224,DET,@,SDG,L 28-33,0,0,,0,,0,0,,0
2,2015,2,2015-09-20,23-231,DET,@,MIN,L 16-26,1,2,2.00,0,0,0,0,,0
3,2015,3,2015-09-27,23-238,DET,,DEN,L 12-24,0,0,,0,,0,0,,0
4,2015,4,2015-10-05,23-246,DET,@,SEA,L 10-13,1,0,0.00,0,1,1,3,3.00,0
5,2015,5,2015-10-11,23-252,DET,,ARI,L 17-42,0,0,,0,1,1,6,6.00,0
6,2015,6,2015-10-18,23-259,DET,,CHI,W 37-34,0,0,,0,,0,0,,0
7,2015,7,2015-10-25,23-266,DET,,MIN,L 19-28,1,0,0.00,0,0,0,0,,0
,,,7 Games,,,,,1-6-0,3,2,0.67,0,2,2,9,4.50,0
