
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,2012,1,2012-09-09,22-153,ARI,,SEA,W 20-16,8,9,1.13,0,3,2,17,8.50,0
2,2012,2,2012-09-16,22-160,ARI,@,NWE,W 20-18,10,13,1.30,0,2,2,10,5.00,0
3,2012,3,2012-09-23,22-167,ARI,,PHI,W 27-6,13,83,6.38,0,2,1,12,12.00,0
4,2012,4,2012-09-30,22-174,ARI,,MIA,W 24-21,13,26,2.00,0,2,1,0,0.00,0
5,2012,5,2012-10-04,22-178,ARI,@,STL,L 3-17,14,33,2.36,0,1,1,5,5.00,0
,,,5 Games,,,,,4-1-0,58,164,2.83,0,10,7,44,6.29,0
