
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,TD,Pts
1,2013,1,2013-09-08,21-289,SEA,@,CAR,W 12-7,,,,,,
2,2013,2,2013-09-15,21-296,SEA,,SFO,W 29-3,3,10,3.33,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,TD,Pts
3,2015,6,2015-10-18,23-329,KAN,@,MIN,L 10-16,0,0,,0,0,0
4,2015,7,2015-10-25,23-336,KAN,,PIT,W 23-13,2,8,4.00,0,0,0
5,2015,8,2015-11-01,23-343,KAN,,DET,W 45-10,2,12,6.00,1,1,6
6,2015,9,2015-11-15,23-357,KAN,@,DEN,W 29-13,2,4,2.00,0,0,0
,,,6 Games,,,,,5-1-0,9,34,3.78,1,1,6
