
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2014,5,2014-10-05,22-087,JAX,,PIT,L 9-17,4,27,6.75,0,0,0,0,,0,0,0
2,2014,6,2014-10-12,22-094,JAX,@,TEN,L 14-16,10,21,2.10,1,1,1,-4,-4.00,0,1,6
3,2014,7,2014-10-19,22-101,JAX,,CLE,W 24-6,6,16,2.67,1,0,0,0,,0,1,6
4,2014,14,2014-12-14,22-157,JAX,@,BAL,L 12-20,6,19,3.17,0,0,0,0,,0,0,0
5,2014,15,2014-12-18,22-161,JAX,,TEN,W 21-13,3,3,1.00,0,0,0,0,,0,0,0
6,2014,16,2014-12-28,22-171,JAX,@,HOU,L 17-23,,,,,,,,,,,
,,,6 Games,,,,,2-4-0,29,86,2.97,2,1,1,-4,-4.00,0,2,12
