
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
1,2014,5,2014-10-05,23-329,DET,,BUF,L 14-17,11,48,4.36,0,0,0,,0,0.0,1,0
2,2014,6,2014-10-12,23-336,DET,@,MIN,W 17-3,5,16,3.20,0,0,0,,0,0.0,1,0
3,2014,7,2014-10-19,23-343,DET,,NOR,W 24-23,,,,,,,,,,,
4,2014,8,2014-10-26,23-350,DET,@,ATL,W 22-21,1,2,2.00,0,0,0,,0,0.0,0,0
5,2014,9,2014-11-09,23-364,DET,,MIA,W 20-16,,,,,,,,,,,
6,2014,10,2014-11-16,24-006,DET,@,ARI,L 6-14,,,,,,,,,,,
7,2014,11,2014-11-23,24-013,DET,@,NWE,L 9-34,,,,,,,,,,,
8,2014,12,2014-11-27,24-017,DET,,CHI,W 34-17,,,,,,,,,,,
9,2014,13,2014-12-07,24-027,DET,,TAM,W 34-17,1,2,2.00,0,0,0,,0,0.0,1,0
10,2014,14,2014-12-14,24-034,DET,,MIN,W 16-14,,,,,,,,,,,
11,2014,15,2014-12-21,24-041,DET,@,CHI,W 20-14,1,5,5.00,0,2,28,14.00,0,0.0,0,0
12,2014,16,2014-12-28,24-048,DET,@,GNB,L 20-30,,,,,,,,,,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
13,2015,7,2015-10-25,24-349,DET,,MIN,L 19-28,1,0,0.00,0,0,0,,0,0.0,0,0
14,2015,8,2015-11-01,24-356,DET,@,KAN,L 10-45,0,0,,0,0,0,,0,0.0,0,0
15,2015,9,2015-11-15,25-005,DET,@,GNB,W 18-16,0,0,,0,0,0,,0,0.0,0,0
,,,15 Games,,,,,9-6-0,20,73,3.65,0,2,28,14.00,0,0.0,3,0
