
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,2013,4,2013-09-29,23-264,TAM,,ARI,L 10-13,1,1,8,8.00,0,1,14,14.00,0,3,69,23.00,0
2,2013,5,2013-10-13,23-278,TAM,,PHI,L 20-31,2,2,13,6.50,0,0,0,,0,1,24,24.00,0
,,,2 Games,,,,,0-2-0,3,3,21,7.00,0,1,14,14.00,0,4,93,23.25,0
