
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2015,1,2015-09-13,21-346,JAX,,CAR,L 9-20,12,51,4.25,0,4,3,16,5.33,0,0,0
2,2015,2,2015-09-20,21-353,JAX,,MIA,W 23-20,25,70,2.80,0,4,3,13,4.33,0,0,0
3,2015,3,2015-09-27,21-360,JAX,@,NWE,L 17-51,11,33,3.00,0,3,2,9,4.50,0,0,0
4,2015,4,2015-10-04,22-002,JAX,@,IND,L 13-16,22,105,4.77,0,3,2,4,2.00,0,0,0
5,2015,5,2015-10-11,22-009,JAX,@,TAM,L 31-38,11,32,2.91,0,6,5,31,6.20,1,1,6
6,2015,7,2015-10-25,22-023,JAX,,BUF,W 34-31,20,115,5.75,1,3,1,9,9.00,0,1,6
7,2015,8,2015-11-08,22-037,JAX,@,NYJ,L 23-28,14,64,4.57,0,3,3,37,12.33,0,0,0
8,2015,9,2015-11-15,22-044,JAX,@,BAL,W 22-20,18,61,3.39,0,6,5,6,1.20,0,0,0
9,2015,10,2015-11-19,22-048,JAX,,TEN,W 19-13,14,54,3.86,0,4,3,28,9.33,0,0,0
,,,9 Games,,,,,4-5-0,147,585,3.98,1,36,27,153,5.67,1,,12
