
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2011,12,2011-12-04,23-216,DAL,@,ARI,L 13-19,1,1,9,9.00,0
2,2011,13,2011-12-11,23-223,DAL,,NYG,L 34-37,,,,,
3,2011,14,2011-12-17,23-229,DAL,@,TAM,W 31-15,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
4,2012,14,2012-12-16,24-228,DET,@,ARI,L 10-38,,,,,
5,2012,15,2012-12-22,24-234,DET,,ATL,L 18-31,1,0,0,,0
6,2012,16,2012-12-30,24-242,DET,,CHI,L 24-26,1,1,6,6.00,0
,,,6 Games,,,,,1-5-0,3,2,15,7.50,0
