
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2015,1,2015-09-13,22-132,BUF,,IND,W 27-14,6,55,9.17,1,0,0,0,,0,1,6
2,2015,2,2015-09-20,22-139,BUF,,NWE,L 32-40,6,21,3.50,1,3,2,16,8.00,0,1,6
3,2015,3,2015-09-27,22-146,BUF,@,MIA,W 41-14,12,110,9.17,1,0,0,0,,0,1,6
4,2015,4,2015-10-04,22-153,BUF,,NYG,L 10-24,18,40,2.22,0,4,3,30,10.00,1,1,6
,,,4 Games,,,,,2-2-0,42,226,5.38,3,7,5,46,9.20,1,,24
