
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,2015,1,2015-09-14,23-211,ATL,,PHI,W 26-24,0,0,,0,,0,0,,0,0,0,,0,0,0
2,2015,2,2015-09-20,23-217,ATL,@,NYG,W 24-20,0,0,,0,1,1,9,9.00,0,1,10,10.00,0,0,0
3,2015,3,2015-09-27,23-224,ATL,@,DAL,W 39-28,0,0,,0,,0,0,,0,0,0,,0,0,0
4,2015,4,2015-10-04,23-231,ATL,,HOU,W 48-21,19,72,3.79,1,1,1,18,18.00,0,0,0,,0,1,6
5,2015,5,2015-10-11,23-238,ATL,,WAS,W 25-19,0,0,,0,2,0,0,,0,0,0,,0,0,0
6,2015,6,2015-10-15,23-242,ATL,@,NOR,L 21-31,0,0,,0,1,1,7,7.00,0,0,0,,0,0,0
7,2015,7,2015-10-25,23-252,ATL,@,TEN,W 10-7,0,0,,0,1,1,7,7.00,0,0,0,,0,0,0
,,,7 Games,,,,,6-1-0,19,72,3.79,1,6,4,41,10.25,0,1,10,10.00,0,,6
