
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,2013,8,2013-11-03,23-252,HOU,,IND,L 24-27,8,36,4.50,0,0,0,0,,0,1,21,21.00,0
2,2013,9,2013-11-10,23-259,HOU,@,ARI,L 24-27,4,7,1.75,0,1,1,14,14.00,0,0,0,,0
3,2013,10,2013-11-17,23-266,HOU,,OAK,L 23-28,2,2,1.00,0,0,0,0,,0,0,0,,0
4,2013,11,2013-11-24,23-273,HOU,,JAX,L 6-13,13,74,5.69,0,2,2,13,6.50,0,0,0,,0
5,2013,12,2013-12-01,23-280,HOU,,NWE,L 31-34,3,13,4.33,0,2,1,11,11.00,0,0,0,,0
6,2013,13,2013-12-05,23-284,HOU,@,JAX,L 20-27,3,10,3.33,0,1,1,4,4.00,0,0,0,,0
7,2013,14,2013-12-15,23-294,HOU,@,IND,L 3-25,4,12,3.00,0,2,1,3,3.00,0,4,108,27.00,0
8,2013,15,2013-12-22,23-301,HOU,,DEN,L 13-37,12,29,2.42,0,4,2,1,0.50,0,1,22,22.00,0
,,,8 Games,,,,,0-8-0,49,183,3.73,0,12,8,46,5.75,0,6,151,25.17,0
