
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
1,2013,1,2013-09-09,22-324,WAS,,PHI,L 27-33,0,0,0,,0,0,0,,0,3,56,18.67,0,1,5,5.00,0,0,0
2,2013,2,2013-09-15,22-330,WAS,@,GNB,L 20-38,0,0,0,,0,0,0,,0,3,59,19.67,0,2,9,4.50,0,0,0
3,2013,3,2013-09-22,22-337,WAS,,DET,L 20-27,0,0,0,,0,0,0,,0,2,45,22.50,0,2,11,5.50,0,0,0
4,2013,4,2013-09-29,22-344,WAS,@,OAK,W 24-14,0,0,0,,0,0,0,,0,0,0,,0,2,11,5.50,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
5,2014,14,2014-12-14,24-055,WAS,@,NYG,L 13-24,4,3,22,7.33,1,3,12,4.00,0,0,0,,0,0,0,,0,1,6
6,2014,15,2014-12-20,24-061,WAS,,PHI,W 27-24,3,3,5,1.67,0,0,0,,0,0,0,,0,0,0,,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
7,2015,1,2015-09-13,24-328,WAS,,MIA,L 10-17,1,0,0,,0,3,11,3.67,0,1,36,36.00,0,0,0,,0,0,0
8,2015,2,2015-09-20,24-335,WAS,,STL,W 24-10,1,1,10,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
9,2015,3,2015-09-24,24-339,WAS,@,NYG,L 21-32,11,8,57,7.13,1,2,29,14.50,0,0,0,,0,0,0,,0,1,6
10,2015,4,2015-10-04,24-349,WAS,,PHI,W 23-20,3,2,24,12.00,0,6,53,8.83,0,0,0,,0,0,0,,0,0,0
11,2015,5,2015-10-11,24-356,WAS,@,ATL,L 19-25,7,6,33,5.50,0,3,15,5.00,0,0,0,,0,0,0,,0,0,0
12,2015,6,2015-10-18,24-363,WAS,@,NYJ,L 20-34,10,6,26,4.33,0,5,12,2.40,0,0,0,,0,0,0,,0,0,0
,,,12 Games,,,,,4-8-0,40,29,177,6.10,2,22,132,6.00,0,9,196,21.78,0,7,36,5.14,0,2,12
