
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1948,22,BCL,QB,,14,12,,161,289,55.7,2522,16,5.5,9,3.1,80,8.7,8.4,15.7,180.1,90.3,,,,,,,,
1949,23,BCL,QB,,11,7,,148,289,51.2,2209,14,4.8,18,6.2,80,7.6,5.8,14.9,200.8,66.8,,,,,,0,0,
1950,24,BAL,QB,63,12,7,1-8-0,161,315,51.1,1884,8,2.5,19,6.0,62,6.0,3.8,11.7,157.0,52.9,,,,,,0,0,
1951,25,SFO,qb,64,12,1,1-0-0,63,114,55.3,808,8,7.0,9,7.9,48,7.1,4.9,12.8,67.3,68.2,,,,,,0,0,
1952,26,SFO,qb,14,12,5,3-2-0,106,208,51.0,1407,11,5.3,12,5.8,77,6.8,5.2,13.3,117.3,66.3,,,,,,0,0,
1953*,27,SFO,QB,14,11,10,8-2-0,149,259,57.5,2121,20,7.7,16,6.2,71,8.2,7.0,14.2,192.8,84.1,,,,,,0,0,
1954*,28,SFO,QB,14,12,11,6-4-1,170,295,57.6,2205,9,3.1,9,3.1,70,7.5,6.7,13.0,183.8,78.7,,,,,,0,0,
1955,29,SFO,QB,14,12,12,4-8-0,147,287,51.2,2185,17,5.9,28,9.8,78,7.6,4.4,14.9,182.1,56.6,,,,,,0,0,
1956,30,SFO,QB,14,11,8,4-3-1,124,218,56.9,1641,7,3.2,12,5.5,77,7.5,5.7,13.2,149.2,68.6,,,,,,0,0,
1957*+,31,SFO,QB,14,12,11,7-4-0,176,279,63.1,2157,13,4.7,15,5.4,46,7.7,6.2,12.3,179.8,80.0,,,,,,,,
1958,32,SFO,qb,14,11,6,3-3-0,120,208,57.7,1467,9,4.3,15,7.2,64,7.1,4.7,12.2,133.4,63.9,,,,,,0,0,
1959*,33,SFO,QB,14,11,10,6-4-0,102,199,51.3,1331,10,5.0,15,7.5,75,6.7,4.3,13.0,121.0,58.0,,,,,,0,0,
1960,34,SFO,qb,14,9,4,3-1-0,69,127,54.3,694,4,3.1,3,2.4,45,5.5,5.0,10.1,77.1,70.8,,,,,,1,1,3
1961*,35,NYG,QB,14,13,10,8-1-1,163,285,57.2,2272,17,6.0,12,4.2,62,8.0,7.3,13.9,174.8,85.3,,,,,,1,1,10
1962*+,36,NYG,QB,14,14,14,12-2-0,200,375,53.3,3224,33,8.8,20,5.3,69,8.6,8.0,16.1,230.3,89.5,,,,,,1,1,15
1963*+,37,NYG,QB,14,13,13,11-2-0,221,367,60.2,3145,36,9.8,14,3.8,70,8.6,8.8,14.2,241.9,104.8,,,,,,1,1,16
1964,38,NYG,QB,14,14,11,1-8-2,147,281,52.3,1798,10,3.6,22,7.8,54,6.4,3.6,12.2,128.4,51.6,,,,,,2,1,3
Career,,,,,204,152,78-52-5,2427,4395,55.2,33070,242,5.5,248,5.6,80,7.5,6.1,13.6,162.1,74.3,,,,,,6,5,47
10 yrs,,SFO,,,113,78,45-31-2,1226,2194,55.9,16016,108,4.9,134,6.1,78,7.3,5.5,13.1,141.7,70.0,,,,,,1,1,3
4 yrs,,NYG,,,54,48,32-13-3,731,1308,55.9,10439,96,7.3,68,5.2,70,8.0,7.1,14.3,193.3,84.7,,,,,,5,4,44
3 yrs,,BAL-BCL,,,37,26,1-8-0,470,893,52.6,6615,38,4.3,46,5.2,80,7.4,5.9,14.1,178.8,69.5,,,,,,0,0,
