
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1940,24,PIT,qb,,11,2,,9,28,32.1,145,1,3.6,3,10.7,31,5.2,1.1,16.1,13.2,22.8,,,,,,0,0,
1941,25,PHI,qb,,11,5,,86,162,53.1,959,8,4.9,14,8.6,50,5.9,3.0,11.2,87.2,51.4,,,,,,0,0,
1942*,26,PHI,QB,,11,10,,95,203,46.8,1410,8,3.9,16,7.9,65,6.9,4.2,14.8,128.2,50.3,,,,,,0,0,
1945,29,PHI,,,8,0,,15,28,53.6,146,0,0.0,2,7.1,27,5.2,2.0,9.7,18.3,38.7,,,,,,0,0,
1946,30,PHI,qb,,10,3,,57,103,55.3,745,6,5.8,9,8.7,45,7.2,4.5,13.1,74.5,61.3,,,,,,0,0,
1947,31,PHI,QB,,12,1,,106,201,52.7,1680,16,8.0,15,7.5,69,8.4,6.6,15.8,140.0,76.3,,,,,,,,
1948,32,PHI,QB,,12,4,,141,246,57.3,1965,25,10.2,11,4.5,70,8.0,8.0,13.9,163.8,98.4,,,,,,0,1,
1949,33,PHI,QB,,12,9,,116,214,54.2,1727,16,7.5,11,5.1,75,8.1,7.3,14.9,143.9,84.4,,,,,,,,
1950,34,PHI,QB,11,12,12,6-6-0,107,239,44.8,1608,11,4.6,22,9.2,75,6.7,3.5,15.0,134.0,44.4,,,,,,0,0,
Career,,,,,99,46,6-6-0,732,1424,51.4,10385,91,6.4,103,7.2,75,7.3,5.3,14.2,104.9,66.5,,,,,,0,1,
8 yrs,,PHI,,,88,44,6-6-0,723,1396,51.8,10240,90,6.4,100,7.2,75,7.3,5.4,14.2,116.4,67.4,,,,,,0,1,
1 yr,,PIT,,,11,2,,9,28,32.1,145,1,3.6,3,10.7,31,5.2,1.1,16.1,13.2,22.8,,,,,,0,0,
