
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1958,22,CRD,,16,7,,,1,9,11.1,18,0,0.0,2,22.2,18,2.0,-8.0,18.0,2.6,0.0,,,,,,0,0,
1959,23,CRD,QB,16,11,10,2-9-0,82,181,45.3,1015,7,3.9,13,7.2,31,5.6,3.1,12.4,92.3,46.2,,,,,,0,0,
1960,24,STL,qb,16,12,1,1-0-0,20,55,36.4,205,1,1.8,5,9.1,25,3.7,0.0,10.3,17.1,16.1,,,,,,,,2
1961,25,PHI,P,10,14,,,6,12,50.0,101,2,16.7,2,16.7,23,8.4,4.3,16.8,7.2,78.8,,,,,,,,3
1962,26,PHI,P,10,14,1,0-1-0,31,61,50.8,361,0,0.0,5,8.2,37,5.9,2.2,11.6,25.8,34.9,,,,,,,,4
1963,27,PHI,P/qb,10,14,6,0-4-1,91,186,48.9,1213,10,5.4,17,9.1,80,6.5,3.5,13.3,86.6,49.9,,,,,,,,4
1964,28,PHI,qb,10,8,3,1-2-0,49,88,55.7,641,3,3.4,4,4.5,38,7.3,5.9,13.1,80.1,71.3,,,,,,1,1,3
1965,29,PHI,qb,10,7,4,1-4-0,60,113,53.1,857,5,4.4,10,8.8,50,7.6,4.5,14.3,122.4,55.8,,,,,,,,4
1966,30,PHI,qb,10,10,2,2-0-0,53,97,54.6,571,5,5.2,7,7.2,30,5.9,3.7,10.8,57.1,59.3,,,,,,2,2,3
1967,31,PHI,,10,1,,,2,7,28.6,33,1,14.3,0,0.0,18,4.7,7.6,16.5,33.0,86.3,,,,,,,,0
1968,32,2TM,,,11,2,0-2-0,33,71,46.5,531,3,4.2,6,8.5,92,7.5,4.5,16.1,48.3,50.9,,,,,,,,3
,,MIN,P,10,8,,,0,0,,0,0,,0,,0,,,,0.0,,,,,,,,,1
,,PHI,qb,10,3,2,0-2-0,33,71,46.5,531,3,4.2,6,8.5,92,7.5,4.5,16.1,177.0,50.9,,,,,,,,2
1969,33,STL,P,15,14,,,1,1,100.0,7,0,0.0,0,0.0,7,7.0,7.0,7.0,0.5,95.8,0,0,7.00,7.00,0.0,,,1
Career,,,,,123,29,7-22-1,429,881,48.7,5553,37,4.2,71,8.1,92,6.3,3.5,12.9,45.1,49.3,0,0,6.30,3.52,0.0,3,3,27
8 yrs,,PHI,,,71,18,4-13-1,325,635,51.2,4308,29,4.6,51,8.0,92,6.8,4.1,13.3,60.7,54.8,,,,,,3,3,23
4 yrs,,STL-CRD,,,44,11,3-9-0,104,246,42.3,1245,8,3.3,20,8.1,31,5.1,2.1,12.0,28.3,35.4,0,0,7.00,7.00,0.0,0,0,3
1 yr,,MIN,,,8,0,,0,0,,0,0,,0,,0,,,,0.0,,,,,,,,,1
