
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1946,23,CLE,db,,10,2,24,-34,0,0,-1.4,-3.4,2.4,,,,,,,,,-34,0,0
1947,24,CLE,qb,,13,5,11,66,0,0,6.0,5.1,0.8,,,,,,,,,66,0,0
1948,25,CLE,PR,,14,0,5,44,0,0,8.8,3.1,0.4,,,,,,,,,44,0,0
1949,26,CLE,PR,,11,1,9,-17,1,0,-1.9,-1.5,0.8,,,,,,,,,-17,1,0
1950,27,CLE,,62,11,,2,-1,0,2,-0.5,-0.1,0.2,,,,,,,,,-1,0,0
1951,28,CLE,S,62,12,,3,-10,0,1,-3.3,-0.8,0.3,,,,,,,,,-10,0,3
Career,,,,,71,8,54,48,1,2,0.9,0.7,0.8,,,,,,,,,48,1,3
