
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1949,22,DET,qb,,6,4,12,36,1,18,3.0,6.0,2.0,,,,,,,,,36,1,1
1950,23,CRD,qb,8,10,4,4,35,1,21,8.8,3.5,0.4,,,,,,,,,35,1,2
1951,24,CRD,qb,8,3,1,1,14,0,14,14.0,4.7,0.3,,,,,,,,,14,0,0
1952,25,2TM,,,12,7,10,25,3,15,2.5,2.1,0.8,,,,,,,,,25,3,6
,,DTX,qb,11,6,6,9,28,3,15,3.1,4.7,1.5,,,,,,,,,28,3,4
,,CRD,P,8,6,1,1,-3,0,-3,-3.0,-0.5,0.2,,,,,,,,,-3,0,2
1960,33,DEN,QB,18,14,14,10,0,0,8,0.0,0.0,0.7,,,,,,,,,0,0,7
1961,34,DEN,QB,18,14,11,4,-8,0,0,-2.0,-0.6,0.3,,,,,,,,,-8,0,3
1962*,35,DEN,QB,18,14,13,2,-1,1,1,-0.5,-0.1,0.1,,,,,,,,,-1,1,2
Career,,,,,75,56,43,101,6,21,2.3,1.3,0.6,,,,,,,,,101,6,21
4 yrs,,DEN,,,44,40,16,-9,1,8,-0.6,-0.2,0.4,,,,,,,,,-9,1,12
3 yrs,,CRD,,,19,6,6,46,1,21,7.7,2.4,0.3,,,,,,,,,46,1,4
1 yr,,DET,,,6,4,12,36,1,18,3.0,6.0,2.0,,,,,,,,,36,1,1
1 yr,,DTX,,,6,6,9,28,3,15,3.1,4.7,1.5,,,,,,,,,28,3,4
