
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1958,22,CRD,,16,7,,1,0,0,0,0.0,0.0,0.1,,,,,,,,,0,0,1
1959,23,CRD,QB,16,11,10,39,167,5,29,4.3,15.2,3.5,,,,,,,,,167,5,13
1960,24,STL,qb,16,12,1,16,47,1,10,2.9,3.9,1.3,,,,,,,,,47,1,3
1961,25,PHI,P,10,14,,2,9,0,7,4.5,0.6,0.1,,,,,,,,,9,0,0
1962,26,PHI,P,10,14,1,4,40,1,22,10.0,2.9,0.3,,,,,,,,,40,1,1
1963,27,PHI,P/qb,10,14,6,3,-1,0,6,-0.3,-0.1,0.2,,,,,,,,,-1,0,3
1964,28,PHI,qb,10,8,3,8,27,0,14,3.4,3.4,1.0,,,,,,,,,27,0,3
1965,29,PHI,qb,10,7,4,7,20,2,7,2.9,2.9,1.0,,,,,,,,,20,2,0
1966,30,PHI,qb,10,10,2,7,-2,0,2,-0.3,-0.2,0.7,,,,,,,,,-2,0,2
1968,32,2TM,,,11,2,1,1,0,1,1.0,0.1,0.1,,,,,,,,,1,0,1
,,PHI,qb,10,3,2,1,1,0,1,1.0,0.3,0.3,,,,,,,,,1,0,1
Career,,,,,123,29,88,308,9,29,3.5,2.5,0.7,,,,,,,,,308,9,27
8 yrs,,PHI,,,71,18,32,94,3,22,2.9,1.3,0.5,,,,,,,,,94,3,10
4 yrs,,CRD-STL,,,44,11,56,214,6,29,3.8,4.9,1.3,,,,,,,,,214,6,17
1 yr,,MIN,,,8,0,0,0,0,0,,0.0,0.0,,,,,,,,,0,0,0
