
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1952,22,GNB,P/qb,15,12,4,2-2-0,77,177,43.5,1416,13,7.3,17,9.6,90,8.0,5.1,18.4,118.0,56.6,,,,,,0,0,
1953,23,GNB,QB,15,12,5,0-5-0,74,166,44.6,830,4,2.4,19,11.4,45,5.0,0.3,11.2,69.2,28.5,,,,,,0,0,
1956,26,CLE,qb,18,5,3,1-2-0,24,49,49.0,409,3,6.1,7,14.3,68,8.3,3.1,17.0,81.8,58.5,,,,,,0,0,
1957,27,GNB,qb,10,12,1,0-1-0,39,102,38.2,669,4,3.9,12,11.8,75,6.6,2.0,17.2,55.8,34.8,,,,,,0,0,
1958,28,GNB,qb,10,12,4,1-3-0,68,157,43.3,1068,10,6.4,13,8.3,80,6.8,4.4,15.7,89.0,53.3,,,,,,0,0,
1960,30,OAK,qb,10,14,1,1-1-0,87,187,46.5,1003,5,2.7,11,5.9,49,5.4,3.3,11.5,71.6,47.6,,,,,,,,2
1961,31,BOS,QB,15,14,8,6-2-0,104,198,52.5,1314,13,6.6,9,4.5,53,6.6,5.9,12.6,93.9,76.5,,,,,,2,2,8
1962,32,BOS,QB,15,10,10,6-3-1,140,253,55.3,1988,18,7.1,8,3.2,67,7.9,7.9,14.2,198.8,91.5,,,,,,2,2,9
1963*,33,BOS,QB,15,14,13,7-5-1,153,337,45.4,2345,13,3.9,24,7.1,77,7.0,4.5,15.3,167.5,52.1,,,,,,1,1,8
1964*+,34,BOS,QB,15,14,14,10-3-1,228,473,48.2,3465,31,6.6,27,5.7,80,7.3,6.1,15.2,247.5,70.8,,,,,,3,3,14
1965,35,BOS,QB,15,14,13,4-8-1,173,426,40.6,2597,18,4.2,26,6.1,73,6.1,4.2,15.0,185.5,50.0,,,,,,3,1,8
1966*,36,BOS,QB,15,14,14,8-4-2,181,382,47.4,2721,20,5.2,20,5.2,63,7.1,5.8,15.0,194.4,66.9,,,,,,2,1,11
1967,37,BOS,QB,15,14,11,3-7-1,161,344,46.8,2317,19,5.5,24,7.0,79,6.7,4.7,14.4,165.5,58.5,,,,,,,,8
1968,38,NYJ,,15,14,,,29,55,52.7,401,5,9.1,2,3.6,40,7.3,7.5,13.8,28.6,91.6,,,,,,1,1,2
1969,39,NYJ,,15,14,,,14,24,58.3,138,2,8.3,1,4.2,29,5.8,5.5,9.9,9.9,85.1,0,0,5.75,5.54,0.0,,,1
Career,,,,,189,101,49-46-7,1552,3330,46.6,22681,178,5.3,220,6.6,90,6.8,4.9,14.6,120.0,59.6,0,0,6.81,4.91,0.0,14,11,71
7 yrs,,BOS,,,94,83,44-32-7,1140,2413,47.2,16747,132,5.5,138,5.7,80,6.9,5.5,14.7,178.2,64.8,,,,,,13,10,66
4 yrs,,GNB,,,48,14,3-11-0,258,602,42.9,3983,31,5.1,61,10.1,90,6.6,3.1,15.4,83.0,42.9,,,,,,0,0,
2 yrs,,NYJ,,,28,0,,43,79,54.4,539,7,8.9,3,3.8,40,6.8,6.9,12.5,19.3,89.6,0,0,5.75,5.54,0.0,1,1,3
1 yr,,CLE,,,5,3,1-2-0,24,49,49.0,409,3,6.1,7,14.3,68,8.3,3.1,17.0,81.8,58.5,,,,,,0,0,
1 yr,,OAK,,,14,1,1-1-0,87,187,46.5,1003,5,2.7,11,5.9,49,5.4,3.3,11.5,71.6,47.6,,,,,,,,2
